match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,lineup_status
25-26-prem-aston-villa-vs-brighton-hove-albion,,,,,,False,False,confirmed
25-26-prem-brentford-vs-arsenal,,,,,,False,False,confirmed
25-26-prem-chelsea-vs-leeds-united,,,,,,False,False,confirmed
25-26-prem-crystal-palace-vs-burnley,,,,,,False,False,confirmed
25-26-prem-everton-vs-afc-bournemouth,,,,,,False,False,confirmed
25-26-prem-manchester-city-vs-fulham,,,,,,False,False,confirmed
25-26-prem-nottingham-forest-vs-wolverhampton-wanderers,,,,,,False,False,confirmed
25-26-prem-sunderland-vs-liverpool,,,,,,False,False,confirmed
25-26-prem-tottenham-hotspur-vs-newcastle-united,,,,,,False,False,confirmed
25-26-prem-west-ham-united-vs-manchester-united,,,,,,False,False,confirmed
25-26-prem-wolverhampton-wanderers-vs-arsenal,,,,,,False,False,confirmed
