id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
564,Nazarii,Rusyn,Rusyn,u,has joined Arka on loan for the rest of the season.,,4.4,542,76.0,0.1,524,72.0,0.0,558.0,58.0,0,0,0.0,-1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,674.0,69.0,0.0,0.0,665.0,69.0,661.0,68.0,640.0,68.0,667.0,69.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
668,Granit,Xhaka,Xhaka,a,,,5.1,220,134.0,3.3,102,34.0,2.7,106.0,37.0,1,0,0.0,1,-1.0,132,270,0.5,21.0,3.2,2.7,3.6,108.0,48.0,100.0,100.0,57.0,15.0,38.0,34.0,271.0,148.0,72.0,44.0,1.0,1.0,,,,,,0.03,0.1,0.13,1.47,0.0,0.28,1.28,0.99,11.12,34,1,90,0,0,0,5,0,0,0,1,0,0,1,0,16,5024,2414,0.0,0.040000000000000036,0.40000000000000036,0.43999999999999995,1.2999999999999972,16.200000000000045,31.799999999999955,5.0,5.299999999999997,2,2,2,6
670,Robin,Roefs,Roefs,a,,,4.8,370,15.0,8.6,46,8.0,4.0,57.0,6.0,0,0,0.0,3,-3.0,680,1363,0.8,25.4,4.5,4.0,3.9,70.0,8.0,100.0,100.0,12.0,3.0,369.0,2.0,763.0,88.0,159.0,3.0,,,,,,,,0.0,0.0,0.0,1.48,3.13,0.29,1.39,1.0,0.0,34,0,90,0,0,0,5,0,0,0,0,0,2,1,0,506,57704,8034,0.0,0.0,0.0,0.0,1.2999999999999972,12.0,0.0,0.0,1.2000000000000028,0,0,4,0
678,Arthur,Masuaku,Masuaku,u,has joined RC Lens on loan for the rest of the season.,,3.9,752,214.0,0.5,275,103.0,0.0,381.0,140.0,0,0,0.0,-1,1.0,0,10,0.0,0.3,0.0,0.0,0.3,524.0,181.0,0.0,0.0,453.0,165.0,400.0,144.0,426.0,161.0,455.0,163.0,,,,,,,,0.05,0.06,0.11,1.5,0.0,0.0,1.44,1.44,7.2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
683,Omar,Alderete,Alderete,a,,,4.1,652,153.0,6.0,63,21.0,3.0,89.0,35.0,0,0,0.0,1,-1.0,356,1390,0.7,27.3,3.5,3.0,3.7,91.0,32.0,100.0,100.0,33.0,12.0,241.0,62.0,107.0,13.0,88.0,21.0,,,,,,,,0.06,0.03,0.09,1.47,0.0,0.31,1.35,1.01,10.09,34,0,90,0,0,0,5,0,0,0,0,0,0,1,0,369,19756,9159,0.0,0.2999999999999998,0.010000000000000009,0.3099999999999996,1.3000000000000043,10.799999999999955,0.8999999999999773,36.0,4.800000000000011,0,7,4,7
694,Nordi,Mukiele,Mukiele,a,,,4.6,397,68.0,8.8,45,14.0,4.3,44.0,19.0,0,0,0.0,6,-6.0,995,1825,0.9,27.8,4.8,4.3,4.6,26.0,9.0,100.0,100.0,51.0,24.0,105.0,28.0,185.0,43.0,87.0,20.0,,,,,,,,0.05,0.08,0.13,1.51,0.0,0.3,1.37,1.04,8.87,34,0,90,0,0,0,5,0,0,0,0,0,0,1,0,418,111955,9092,0.0,0.0,0.10000000000000009,0.10000000000000009,1.2999999999999972,11.200000000000045,20.30000000000001,6.0,3.799999999999997,1,1,3,2
724,Lutsharel,Geertruida,Geertruida,a,,,4.5,429,88.0,0.1,576,205.0,0.0,598.0,242.0,0,0,0.0,0,0.0,3,13,0.0,10.2,0.5,0.0,1.8,372.0,140.0,,,260.0,105.0,264.0,73.0,312.0,96.0,305.0,103.0,,,,,,,,0.03,0.05,0.08,1.81,0.0,0.13,1.34,0.89,6.44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
730,Brian,Brobbey,Brobbey,a,,,5.3,193,45.0,1.2,181,29.0,1.7,165.0,21.0,2,0,0.0,-2,2.0,242,618,0.3,14.5,2.2,1.7,2.9,210.0,21.0,100.0,100.0,229.0,20.0,224.0,23.0,51.0,20.0,153.0,21.0,,,,,,,,0.25,0.03,0.28,1.57,0.0,0.28,1.5,1.0,3.49,34,2,90,0,0,0,5,0,0,0,0,0,0,1,0,4,38505,2833,0.0,0.0,0.019999999999999962,0.019999999999999574,1.3000000000000007,3.0,16.400000000000006,10.0,2.9000000000000057,1,0,1,2
735,Bertrand,Traoré,Traoré,d,Knee injury - 50% chance of playing,,5.5,134,83.0,0.0,653,257.0,0.0,792.0,350.0,0,0,0.0,0,0.0,1,1,0.0,5.5,0.2,0.0,2.5,270.0,111.0,50.0,0.0,362.0,161.0,274.0,167.0,226.0,124.0,329.0,160.0,,,,,,,,0.07,0.04,0.11,1.38,0.0,0.43,1.28,1.28,5.68,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
774,Jenson,Jones,Jenson Jones,a,,,4.0,679,169.0,0.0,676,238.0,0.0,426.0,160.0,0,0,0.0,0,0.0,4,3,0.0,0.0,0.5,0.0,0.0,589.0,216.0,,,578.0,215.0,570.0,215.0,539.0,211.0,580.0,215.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
