match_id,minute,home_xg,away_xg,home_cumulative_xg,away_cumulative_xg
25-26-prem-brighton-hove-albion-vs-leeds-united,2,0.007,0,0.007,0
25-26-prem-brighton-hove-albion-vs-leeds-united,9,0.144,0,0.151,0
25-26-prem-brighton-hove-albion-vs-leeds-united,11,0.871,0,1.022,0
25-26-prem-brighton-hove-albion-vs-leeds-united,15,0.027,0,1.048,0
25-26-prem-brighton-hove-albion-vs-leeds-united,20,0,0.063,1.048,0.063
25-26-prem-brighton-hove-albion-vs-leeds-united,34,0.085,0,1.133,0.063
25-26-prem-brighton-hove-albion-vs-leeds-united,39,0.037,0,1.171,0.063
25-26-prem-brighton-hove-albion-vs-leeds-united,41,0.251,0,1.421,0.063
25-26-prem-brighton-hove-albion-vs-leeds-united,45,0,0.191,1.421,0.254
25-26-prem-brighton-hove-albion-vs-leeds-united,47,0.172,0,1.594,0.254
25-26-prem-brighton-hove-albion-vs-leeds-united,49,0.026,0,1.62,0.254
25-26-prem-brighton-hove-albion-vs-leeds-united,57,0.065,0.026,1.685,0.28
25-26-prem-brighton-hove-albion-vs-leeds-united,64,0.884,0,2.569,0.28
25-26-prem-brighton-hove-albion-vs-leeds-united,70,0.367,0,2.937,0.28
25-26-prem-brighton-hove-albion-vs-leeds-united,83,0.132,0,3.068,0.28
25-26-prem-brighton-hove-albion-vs-leeds-united,85,0,0.217,3.068,0.497
