match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,attendance,lineup_status,lineup_confidence
25-26-prem-arsenal-vs-aston-villa,,,,,,False,False,,confirmed,
25-26-prem-brentford-vs-tottenham-hotspur,,,,,,False,False,,confirmed,
25-26-prem-burnley-vs-newcastle-united,,,,,,False,False,,confirmed,
25-26-prem-chelsea-vs-afc-bournemouth,,,,,,False,False,,confirmed,
25-26-prem-crystal-palace-vs-fulham,,,,,,False,False,,confirmed,
25-26-prem-liverpool-vs-leeds-united,,,,,,False,False,,confirmed,
25-26-prem-manchester-united-vs-wolverhampton-wanderers,,,,,,False,False,,confirmed,
25-26-prem-nottingham-forest-vs-everton,,,,,,False,False,,confirmed,
25-26-prem-sunderland-vs-manchester-city,,,,,,False,False,,confirmed,
25-26-prem-west-ham-united-vs-brighton-hove-albion,,,,,,False,False,,confirmed,
