match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,attendance,lineup_status,lineup_confidence
26-27-prem-arsenal-vs-chelsea,,,,,,False,False,,,
26-27-prem-brentford-vs-sunderland,,,,,,False,False,,,
26-27-prem-brighton-hove-albion-vs-leeds-united,,,,,,False,False,,,
26-27-prem-everton-vs-manchester-united,,,,,,False,False,,,
26-27-prem-fulham-vs-crystal-palace,,,,,,False,False,,,
26-27-prem-hull-city-vs-aston-villa,,,,,,False,False,,,
26-27-prem-ipswich-town-vs-liverpool,,,,,,False,False,,,
26-27-prem-manchester-city-vs-coventry-city,,,,,,False,False,,,
26-27-prem-newcastle-united-vs-afc-bournemouth,,,,,,False,False,,,
26-27-prem-nottingham-forest-vs-tottenham-hotspur,,,,,,False,False,,,
