player_id,gameweek,position,team_code,points_roll3,points_roll5,xg_roll3,xg_roll5,xa_roll3,xa_roll5,bps_roll3,bps_roll5,ict_roll3,ict_roll5,minutes_roll3,minutes_roll5,defcon_roll3,defcon_roll5,points_std5,team_xg_for_roll5,team_xg_against_roll5,team_elo,opp_xg_against_roll5,opp_elo,has_double_gw,ppm_roll5,start_rate_roll5,gkp_saves_roll3,def_clean_sheet_roll5,def_attacking_return_rate,mid_creativity_roll3,mid_threat_roll3,mid_shots_on_target_roll3,mid_touches_box_roll3,fwd_xg_roll3,fwd_shots_on_target_roll3,fwd_touches_box_roll3,is_penalty_taker,is_corner_freekick_taker,is_direct_freekick_taker
1,13,GKP,3,3,4.2,0,0,0,0.002,8,14,0.4,0.64,90,90,2.66667,5.8,2.48998,1.81,0.364,2037.35,0.874,1912.06,False,0.711864,1,0.333333,,,,,,,,,,0,0,0
2,13,GKP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,0,,,,,,,,,,0,0,0
3,13,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,0,,,,,,,,,,0,0,0
4,13,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,0,,,,,,,,,,0,0,0
5,13,DEF,3,4.33333,6.8,0,0.085,0.275,0.17,15,22,3.06667,3.98,60,72,5.66667,7.2,5.89067,1.81,0.364,2037.35,0.874,1912.06,False,1.07937,0.8,,0.6,0.4,,,,,,,,0,0,0
6,13,DEF,3,3,3.2,0.0533333,0.032,0.0166667,0.058,15,16.2,2.33333,2.02,90,81,7.33333,6.6,2.58844,1.81,0.364,2037.35,0.874,1912.06,False,0.533333,1,,0.4,0,,,,,,,,0,0,0
7,13,DEF,3,3,4.2,0.12,0.09,0.03,0.026,13.6667,18.6,3.6,2.96,83.6667,84.4,7.33333,8,2.48998,1.81,0.364,2037.35,0.874,1912.06,False,0.724138,1,,0.6,0,,,,,,,,0,0,0
8,13,DEF,3,4,4.8,0.23,0.138,0.0266667,0.05,11,17,3.36667,3.74,90,90,4,5.8,2.16795,1.81,0.364,2037.35,0.874,1912.06,False,0.75,1,,0.6,0.2,,,,,,,,0,0,0
9,13,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,,0,0,,,,,,,,0,0,0
10,13,DEF,3,0.666667,0.6,0,0,0,0,2,1.8,0.0666667,0.06,0.666667,0.8,0.333333,0.4,0.547723,1.81,0.364,2037.35,0.874,1912.06,False,0.117647,0,,0,0,,,,,,,,0,0,0
11,13,DEF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,,0,0,,,,,,,,0,0,0
12,13,DEF,17,0,0.2,,0,,0.13,0,2.8,0,0.66,0,14.6,0,2.2,0.447214,1.756,1.198,1777.99,1.18,1840.19,False,0.0408163,0.2,,0,0,,,,,,,,0,0,0
13,13,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,,0,0,,,,,,,,0,0,0
14,13,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,,0,0,,,,,,,,0,0,0
15,13,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,,0,0,,,,,,,,0,0,0
16,13,MID,3,6.33333,5.8,0.403333,0.26,0.113333,0.18,19.6667,19,9.16667,8.7,90,85,9.33333,9.4,3.83406,1.81,0.364,2037.35,0.874,1912.06,False,0.574257,1,,,,29.4333,35.6667,2,5,,,,1,1,0
17,13,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,,,,0,0,,,,,,0,0,0
18,13,MID,3,0.333333,0.2,0,0,0.01,0.01,1.33333,0.8,0.166667,0.1,4,2.4,0.666667,0.4,0.447214,1.81,0.364,2037.35,0.874,1912.06,False,0.0294118,0,,,,0.133333,0.666667,0,1,,,,0,0,0
19,13,MID,3,0,0.4,0,0.173333,0,0,0,1,0,0.96,0,6.6,0,0.6,0.547723,1.81,0.364,2037.35,0.874,1912.06,False,0.0588235,0,,,,0,0,0,0,,,,0,0,0
20,13,MID,3,9,8,0.18,0.272,0.18,0.132,31.3333,25.2,8.53333,8.18,85.6667,85.4,5,5.6,3.53553,1.81,0.364,2037.35,0.874,1912.06,False,1.15942,1,,,,25.0333,19,1.33333,4.33333,,,,0,0,0
21,13,MID,3,7,6.2,0.19,0.162,0.303333,0.28,30,25.4,8.46667,7.62,90,88.2,15,11.8,4.32435,1.81,0.364,2037.35,0.874,1912.06,False,0.885714,1,,,,30.7,14.6667,1,0.666667,,,,0,0,1
22,13,MID,3,3.66667,2.6,0.146667,0.088,0.18,0.11,14.3333,10.4,3.83333,2.6,74,51.6,6.66667,5.4,2.19089,1.81,0.364,2037.35,0.874,1912.06,False,0.440678,0.4,,,,15.0667,7,0,2,,,,0,0,0
23,13,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.81,0.364,2037.35,0.874,1912.06,False,0,0,,,,0,0,,,,,,0,0,0
