player_id,gameweek,position,team_code,points_roll3,points_roll5,xg_roll3,xg_roll5,xa_roll3,xa_roll5,bps_roll3,bps_roll5,ict_roll3,ict_roll5,minutes_roll3,minutes_roll5,defcon_roll3,defcon_roll5,points_std5,team_xg_for_roll5,team_xg_against_roll5,team_elo,opp_xg_against_roll5,opp_elo,has_double_gw,ppm_roll5,start_rate_roll5,gkp_saves_roll3,def_clean_sheet_roll5,def_attacking_return_rate,mid_creativity_roll3,mid_threat_roll3,mid_shots_on_target_roll3,mid_touches_box_roll3,fwd_xg_roll3,fwd_shots_on_target_roll3,fwd_touches_box_roll3,is_penalty_taker,is_corner_freekick_taker,is_direct_freekick_taker
1,21,GKP,3,1.66667,2.8,0,0,0,0,8.66667,12.4,1.96667,1.8,90,90,0,0,2.38747,1.986,1.096,2057.15,1.082,1935.92,False,0.474576,1,1.66667,,,,,,,,,,0,0,0
2,21,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,0,,,,,,,,,,0,0,0
3,21,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,0,,,,,,,,,,0,0,0
4,21,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,0,,,,,,,,,,0,0,0
5,21,DEF,3,8.33333,5,0.2,0.2,0.00666667,0.00666667,19.3333,11.6,5.43333,3.26,61.6667,37,5.66667,3.4,6.74537,1.986,1.096,2057.15,1.082,1935.92,False,0.735294,0.4,,0.2,0.4,,,,,,,,0,0,0
6,21,DEF,3,1.66667,2.6,0,0,0.00333333,0.01,9.66667,14,1.36667,1.7,90,90,5,5.2,1.94936,1.986,1.096,2057.15,1.082,1935.92,False,0.433333,1,,0.2,0,,,,,,,,0,0,0
7,21,DEF,3,0,1.2,,0,,0.03,0,5,0,0.42,0,18,0,1.4,2.68328,1.986,1.096,2057.15,1.082,1935.92,False,0.214286,0.2,,0.2,0,,,,,,,,0,0,0
8,21,DEF,3,4,4,0.15,0.17,0.01,0.0275,12,13.8,4.26667,4.12,57.3333,70.4,4.33333,3.6,3.53553,1.986,1.096,2057.15,1.082,1935.92,False,0.634921,0.8,,0.4,0.2,,,,,,,,0,0,0
9,21,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,,0,0,,,,,,,,0,0,0
10,21,DEF,3,0.666667,0.6,0,0.02,0.005,0.0133333,1,2.2,0.466667,1.12,27.6667,28.4,1,1,0.547723,1.986,1.096,2057.15,1.082,1935.92,False,0.117647,0.2,,0,0,,,,,,,,0,0,0
11,21,DEF,3,0.333333,0.4,0,0,0.01,0.01,-0.333333,0.4,0.433333,0.46,2.33333,7.4,0.333333,0.2,0.547723,1.986,1.096,2057.15,1.082,1935.92,False,0.0784314,0.2,,0,0,,,,,,,,0,0,0
12,21,DEF,17,0.333333,0.4,0.03,0.015,0.06,0.03,2.33333,2,1.76667,1.12,30,19.8,0.666667,0.6,0.547723,1.176,1.258,1758.73,1.808,1708.14,False,0.0816327,0.2,,0,0,,,,,,,,0,0,0
13,21,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,,0,0,,,,,,,,0,0,0
14,21,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,,0,0,,,,,,,,0,0,0
15,21,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,,0,0,,,,,,,,0,0,0
16,21,MID,3,5.66667,6.2,0.346667,0.268,0.183333,0.202,19.6667,25.6,8.56667,8.4,65,75,4.33333,4.2,3.11448,1.986,1.096,2057.15,1.082,1935.92,False,0.607843,0.8,,,,33.7667,33,0.666667,7.66667,,,,1,0,0
17,21,MID,3,7.33333,5.2,0.15,0.108,0.276667,0.2,30.6667,21.2,10.1667,8.06,86.3333,75.8,8.33333,5.8,3.49285,1.986,1.096,2057.15,1.082,1935.92,False,0.666667,0.8,,,,44.9667,19.3333,1,3,,,,0,0,0
18,21,MID,3,1,0.6,0.035,0.035,0.18,0.18,5.33333,3.2,1.9,1.14,24.3333,14.6,2.33333,1.4,0.894427,1.986,1.096,2057.15,1.082,1935.92,False,0.0882353,0.2,,,,8.86667,5.33333,0,3.5,,,,0,0,0
19,21,MID,3,2,1.4,0.34,0.245,0.015,0.015,6.66667,3.6,1.23333,1.32,24.6667,28,1.66667,1.6,2.07364,1.986,1.096,2057.15,1.082,1935.92,False,0.205882,0.4,,,,5.5,4.33333,0,2,,,,0,0,0
20,21,MID,3,5.33333,4,0.386667,0.296,0.17,0.15,17.6667,13.6,7.86667,6.2,64.6667,61.2,4.33333,5.2,5.09902,1.986,1.096,2057.15,1.082,1935.92,False,0.57971,0.6,,,,29.8333,22.3333,0.666667,5,,,,0,0,0
21,21,MID,3,7.33333,7,0.385,0.235,0.105,0.1425,26.6667,24.8,5.8,5.66,60,72,8,10,6.96419,1.986,1.096,2057.15,1.082,1935.92,False,0.958904,0.8,,,,13.0333,13.3333,1,2.5,,,,0,1,1
22,21,MID,3,1.66667,1.4,0.05,0.038,0.0166667,0.01,8,6.2,3.5,2.38,57.3333,41.2,7.33333,5.6,0.547723,1.986,1.096,2057.15,1.082,1935.92,False,0.25,0.4,,,,16.8333,8.33333,0.333333,1.66667,,,,0,0,0
23,21,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,,,,0,0,,,,,,0,0,0
24,21,MID,3,0.333333,0.2,0,0,0,0,1.33333,0.8,0.3,0.18,5.66667,3.4,1.33333,0.8,0.447214,1.986,1.096,2057.15,1.082,1935.92,False,0.0392157,0,,,,0.1,0,0,0,,,,0,0,0
25,21,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,,,,0,0,,,,,,0,0,0
26,21,MID,3,4.33333,3.4,0.38,0.258,0.0733333,0.056,25.3333,19,7.06667,5.2,90,83.4,12.3333,10,2.70185,1.986,1.096,2057.15,1.082,1935.92,False,0.653846,1,,,,19.7333,19,0.666667,3,,,,0,0,0
27,21,MID,94,0.666667,0.4,0.055,0.055,0.005,0.005,1.33333,0.8,0.133333,0.08,3.66667,2.2,1.33333,0.8,0.547723,1.806,1.372,1835.7,1.366,1686.13,False,0.0833333,0,,,,0.366667,1,0,0.5,,,,0,0,0
28,21,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,,,,0,0,,,,,,0,0,0
29,21,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,,,,0,0,,,,,,0,0,0
30,21,FWD,3,0,0,,,,,0,0,0,0,0,0,0,0,0,1.986,1.096,2057.15,1.082,1935.92,False,0,0,,,,,,,,,,,0,0,0
31,21,FWD,3,2,1.6,0.0666667,0.072,0.00333333,0.006,10,7,3.2,2.6,18.6667,18,3.33333,2.8,1.34164,1.986,1.096,2057.15,1.082,1935.92,False,0.25,0,,,,,,,,0.0666667,0.666667,3.33333,0,0,0
32,21,GKP,7,2,1.8,0,0,0,0,9,9,2.06667,1.82,90,72,0,0,1.30384,1.39,1.71,1925.89,1.784,1797.64,False,0.36,0.8,3,,,,,,,,,,0,0,0
33,21,GKP,7,0,0.2,,0,,0,0,1.4,0,0.16,0,18,0,0,0.447214,1.39,1.71,1925.89,1.784,1797.64,False,0.047619,0.2,0,,,,,,,,,,0,0,0
34,21,GKP,7,0,0,,,,,0,0,0,0,0,0,0,0,0,1.39,1.71,1925.89,1.784,1797.64,False,0,0,0,,,,,,,,,,0,0,0
35,21,GKP,7,0,0,,,,,0,0,0,0,0,0,0,0,0,1.39,1.71,1925.89,1.784,1797.64,False,0,0,0,,,,,,,,,,0,0,0
36,21,DEF,7,2,1.6,0,0.0175,0.08,0.09,7.66667,6.2,2.56667,2.28,59.6667,71.8,2.66667,3.6,2.07364,1.39,1.71,1925.89,1.784,1797.64,False,0.333333,0.8,,0,0.2,,,,,,,,0,1,0
37,21,DEF,7,0.666667,0.8,0.0333333,0.022,0.04,0.024,1.33333,3.2,2.33333,1.98,39.3333,29.6,2.33333,2,0.447214,1.39,1.71,1925.89,1.784,1797.64,False,0.177778,0.2,,0,0,,,,,,,,0,0,0
38,21,DEF,7,2,1.8,0,0,0.05,0.034,12.3333,9.4,2.86667,2.2,90,90,6.66667,5.6,1.48324,1.39,1.71,1925.89,1.784,1797.64,False,0.409091,1,,0,0,,,,,,,,0,0,0
39,21,DEF,7,1.33333,1.4,0.115,0.0625,0.01,0.0125,3.33333,6.8,1.53333,2.22,50,59.6,3,4.4,0.894427,1.39,1.71,1925.89,1.784,1797.64,False,0.333333,0.8,,0,0,,,,,,,,0,0,0
40,21,DEF,7,0,0,,,,,0,0,0,0,0,0,0,0,0,1.39,1.71,1925.89,1.784,1797.64,False,0,0,,0,0,,,,,,,,0,0,0
41,21,DEF,7,0,0,,,,,0,0,0,0,0,0,0,0,0,1.39,1.71,1925.89,1.784,1797.64,False,0,0,,0,0,,,,,,,,0,0,0
42,21,DEF,7,0.333333,0.2,0,0,0.005,0.005,-1,-0.6,0.0666667,0.04,10,6,0,0,0.447214,1.39,1.71,1925.89,1.784,1797.64,False,0.0512821,0,,0,0,,,,,,,,0,0,0
43,21,DEF,7,0,0,,,,,0,0,0,0,0,0,0,0,0,1.39,1.71,1925.89,1.784,1797.64,False,0,0,,0,0,,,,,,,,0,0,0
44,21,DEF,7,0,0,0,0,0.00333333,0.0025,-2,-1,0.6,0.36,34.6667,21.2,2,1.4,0.707107,1.39,1.71,1925.89,1.784,1797.64,False,0,0.2,,0,0,,,,,,,,0,0,0
45,21,DEF,7,0,0,,,,,0,0,0,0,0,0,0,0,0,1.39,1.71,1925.89,1.784,1797.64,False,0,0,,0,0,,,,,,,,0,0,0
46,21,DEF,7,0,0,,,,,0,0,0,0,0,0,0,0,0,1.39,1.71,1925.89,1.784,1797.64,False,0,0,,0,0,,,,,,,,0,0,0
47,21,MID,7,2.33333,7.4,0.123333,0.32,0.23,0.154,11.6667,27.6,5.03333,8.04,87,88.2,3.66667,4.8,7.12741,1.39,1.71,1925.89,1.784,1797.64,False,0.961039,1,,,,25.3,16,0,5.66667,,,,0,0,0
48,21,MID,7,5.33333,4.8,0,0.006,0.133333,0.116,25,23.8,5.6,5.26,87,88.2,11.6667,10.2,2.58844,1.39,1.71,1925.89,1.784,1797.64,False,0.813559,1,,,,21.8333,6,0,3,,,,0,0,0
49,21,MID,7,0,0,,,,,0,0,0,0,0,0,0,0,0,1.39,1.71,1925.89,1.784,1797.64,False,0,0,,,,0,0,,,,,,0,0,0
50,21,MID,7,2.33333,1.8,0.07,0.042,0.03,0.018,5,5.4,2.2,1.96,62,41.4,7.66667,5.8,0.83666,1.39,1.71,1925.89,1.784,1797.64,False,0.339623,0.6,,,,11.8667,6.33333,0,2.33333,,,,0,0,0
51,21,MID,7,0,0,,,,,0,0,0,0,0,0,0,0,0,1.39,1.71,1925.89,1.784,1797.64,False,0,0,,,,0,0,,,,,,0,0,0
