match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,lineup_status
25-26-prem-afc-bournemouth-vs-burnley,,,,,,False,False,confirmed
25-26-prem-aston-villa-vs-manchester-united,,,,,,False,False,confirmed
25-26-prem-brighton-hove-albion-vs-sunderland,,,,,,False,False,confirmed
25-26-prem-everton-vs-arsenal,,,,,,False,False,confirmed
25-26-prem-fulham-vs-nottingham-forest,,,,,,False,False,confirmed
25-26-prem-leeds-united-vs-crystal-palace,,,,,,False,False,confirmed
25-26-prem-manchester-city-vs-west-ham-united,,,,,,False,False,confirmed
25-26-prem-newcastle-united-vs-chelsea,,,,,,False,False,confirmed
25-26-prem-tottenham-hotspur-vs-liverpool,,,,,,False,False,confirmed
25-26-prem-wolverhampton-wanderers-vs-brentford,,,,,,False,False,confirmed
