match_id,team_side,team_code,player_id,player_name,position,jersey_number,is_starting,formation,lineup_status,confidence
25-26-champions-league-ajax-vs-chelsea,away,8,,F. Jørgensen,G,12,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,M. Caicedo,D,25,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,W. Fofana,D,29,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,T. Adarabioyo,D,4,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,J. Hato,D,21,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,F. Buonanotte,M,40,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,R. Lavia,M,45,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,E. Fernández,M,8,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,238,Estêvão,F,41,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,M. Guiu,F,38,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,J. Gittens,F,11,True,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,A. Santos,M,17,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,T. Chalobah,D,23,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,T. George,F,32,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,J. Acheampong,D,34,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,R. Walsh,M,46,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,R. K.-McQueen,F,76,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,R. Sánchez,G,1,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,M. Cucurella,D,3,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,P. Neto,F,7,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,R. James,D,24,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,A. Garnacho,F,49,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,away,8,,M. Merrick,G,50,False,4-3-3,confirmed,
25-26-champions-league-ajax-vs-chelsea,home,,,R. Pasveer,G,22,True,4-2-3-1,confirmed,
25-26-champions-league-ajax-vs-chelsea,home,,,L. Rosa,D,2,True,4-2-3-1,confirmed,
25-26-champions-league-ajax-vs-chelsea,home,,,K. Itakura,D,4,True,4-2-3-1,confirmed,
25-26-champions-league-ajax-vs-chelsea,home,,,J. Šutalo,D,37,True,4-2-3-1,confirmed,
25-26-champions-league-ajax-vs-chelsea,home,,,Y. Baas,D,15,True,4-2-3-1,confirmed,
25-26-champions-league-ajax-vs-chelsea,home,,,J. McConnell,M,16,True,4-2-3-1,confirmed,
25-26-champions-league-ajax-vs-chelsea,home,,,K. Taylor,M,8,True,4-2-3-1,confirmed,
25-26-champions-league-ajax-vs-chelsea,home,,,R. Moro,M,7,True,4-2-3-1,confirmed,
25-26-champions-league-ajax-vs-chelsea,home,,,O. Gloukh,M,10,True,4-2-3-1,confirmed,
