id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
34,u,0.0,0.0,4.0,694,53.0,0,0.0,0,0.0,0.1,507,75.0,0,0,0.0,603.0,74.0,0,0,0.0,485.0,65.0,0.0,0.0,0.0,0,0,17776,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,74.0,0.0,584.0,63.0,0.0,553.0,49.0,0.0,593.0,74.0,,,,36,,Joe,Gauci,Gauci,Has joined Port Vale on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
688,a,,,3.9,777,85.0,0,0.0,-1,1.0,0.6,252,34.0,0,0,0.0,568.0,55.0,0,0,0.0,444.0,44.0,0.0,0.0,0.0,62357,10,48203,20,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,55.0,0.0,544.0,39.0,0.0,512.0,25.0,0.0,558.0,55.0,,,,36,,James,Wright,Wright,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
116,a,100.0,100.0,4.0,696,175.0,0,0.0,0,0.0,0.3,306,113.0,36,2,1.8,364.0,135.0,0,103,0.6,303.0,99.0,0.2,9.0,0.0,67300,30,84768,18,0.6,0.1,0.44,0.17,0.61,7.78,0.06,0.02,0.08,1.08,98.2,384.0,144.0,16.3,414.0,151.0,43.0,348.0,115.0,15.6,401.0,143.0,,,,36,,Aaron,Hickey,Hickey,,,649,0,0,2,9,0,0,0,1,0,0,8,56,,,,0.0,0.28,1.25,1.11,6.8,14,35,34
137,u,0.0,0.0,4.4,560,78.0,0,0.0,-1,1.0,0.3,331,53.0,0,0,0.0,689.0,72.0,0,0,0.0,604.0,63.0,0.0,0.0,0.0,52422,0,82669,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,71.0,0.0,677.0,70.0,0.0,658.0,70.0,0.0,683.0,71.0,,,,36,,Iwan,Morgan,Morgan,has joined Shrewsbury on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
748,a,100.0,100.0,4.9,296,184.0,0,0.0,-1,1.0,0.0,816,361.0,1,0,1.0,501.0,228.0,0,2,0.2,379.0,173.0,0.0,0.2,0.0,247,1,262,0,0.2,-0.3,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.8,0.2,516.0,235.0,1.0,482.0,232.0,0.0,775.0,335.0,0.1,518.0,237.0,,,,36,,Josh,Dasilva,Dasilva,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
170,a,100.0,100.0,4.9,283,176.0,0,0.0,-1,1.0,0.1,478,169.0,34,0,1.8,374.0,158.0,0,153,0.0,727.0,303.0,0.0,6.9,0.0,19607,11,25028,5,0.5,1.0,1.03,0.65,1.68,11.32,0.13,0.08,0.21,1.43,137.6,348.0,156.0,149.5,237.0,152.0,59.0,332.0,172.0,34.4,344.0,165.0,,,1.0,36,,James,Milner,Milner,,,714,1,1,2,14,0,0,0,2,0,0,6,76,,,,0.0,0.25,1.76,0.76,9.58,14,24,38
171,u,0.0,0.0,4.9,324,201.0,0,0.0,-1,1.0,0.0,716,295.0,0,0,0.0,790.0,344.0,0,0,0.0,746.0,317.0,0.0,0.0,0.0,197,0,2982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,343.0,0.0,786.0,343.0,0.0,783.0,342.0,0.0,789.0,343.0,,,,36,,Jeremy,Sarmiento Morante,Sarmiento,has joined Middlesbrough on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
172,u,0.0,0.0,4.8,373,233.0,0,0.0,-2,2.0,0.0,656,258.0,5,0,0.8,525.0,243.0,0,15,0.0,726.0,302.0,0.0,1.0,0.0,2397,0,4327,2,0.0,0.0,0.04,0.03,0.07,1.72,0.06,0.05,0.11,2.72,6.0,484.0,218.0,2.4,468.0,222.0,7.0,433.0,208.0,1.6,484.0,219.0,,,,36,,Tom,Watson,Watson,has joined Millwall on loan for the rest of the season.,,57,0,0,0,2,0,0,0,1,0,0,0,5,,,,0.0,0.0,3.16,0.0,7.89,1,0,4
173,d,50.0,50.0,4.9,329,204.0,0,0.0,-1,1.0,0.4,289,100.0,92,0,3.7,96.0,41.0,6,387,4.2,45.0,18.0,0.9,18.8,0.0,179959,10,142751,501,2.4,2.6,1.92,1.85,3.77,22.29,0.1,0.09,0.19,1.11,467.4,134.0,45.0,288.3,141.0,94.0,209.0,162.0,90.0,96.5,143.0,76.0,,,,36,,Mats,Wieffer,Wieffer,Ankle injury - 50% chance of playing,,1811,2,4,6,23,0,0,0,8,0,0,22,264,,,,0.0,0.3,1.14,1.09,13.12,64,100,100
174,u,0.0,0.0,5.0,280,174.0,0,0.0,0,0.0,0.0,786,342.0,0,0,0.0,809.0,358.0,0,0,0.0,773.0,337.0,0.0,0.0,0.0,0,0,1267,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,357.0,0.0,807.0,357.0,0.0,803.0,356.0,0.0,808.0,357.0,,,,36,,Malick,Yalcouyé,Yalcouye,Has joined Swansea City on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
743,a,,,4.5,501,310.0,0,0.0,0,0.0,0.0,730,304.0,0,0,0.0,758.0,319.0,0,0,0.0,692.0,277.0,0.0,0.0,0.0,1626,2,1508,2,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,318.0,0.0,751.0,318.0,0.0,737.0,314.0,0.0,757.0,318.0,,,,36,,Landon,Emenalo,Emenalo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
789,a,,,4.0,717,64.0,0,0.0,0,0.0,0.0,752,86.0,0,0,0.0,619.0,84.0,0,0,0.0,503.0,76.0,0.0,0.0,0.0,533,1,423,0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,84.0,0.0,602.0,74.0,0.0,571.0,60.0,0.0,610.0,84.0,,,,36,,Max,Merrick,Merrick,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
803,a,,,4.0,710,60.0,0,0.0,0,0.0,0.0,771,90.0,0,0,0.0,615.0,81.0,0,0,0.0,498.0,72.0,0.0,0.0,0.0,295,2,219,3,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,81.0,0.0,597.0,70.0,0.0,566.0,56.0,0.0,606.0,81.0,,,,36,,Teddy,Sharman-Lowe,Sharman-Lowe,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
829,i,0.0,0.0,4.5,507,315.0,0,0.0,0,0.0,0.0,827,368.0,1,0,1.0,496.0,224.0,0,5,0.2,374.0,171.0,0.0,0.2,0.0,110,1,30,1,0.0,0.0,0.1,0.02,0.12,1.09,0.2,0.04,0.24,2.18,4.6,486.0,220.0,6.4,450.0,216.0,25.0,382.0,193.0,3.6,472.0,211.0,,,,36,,Jesse,Derry,Derry,Head injury - Expected back 01 Jun,,45,0,0,0,2,0,0,0,0,0,0,1,3,,,,0.0,0.0,4.0,2.0,6.0,1,0,2
253,a,,,5.1,226,7.0,0,0.0,1,-1.0,9.6,39,6.0,126,0,3.8,83.0,8.0,7,513,1.8,187.0,14.0,0.4,24.7,0.0,1426895,336,1111737,1343,1.8,3.1,0.0,0.11,0.11,44.01,0.0,0.0,0.0,1.33,750.0,34.0,9.0,10.0,439.0,16.0,0.0,806.0,94.0,75.9,200.0,9.0,,,,36,,Dean,Henderson,Henderson,,,2970,0,0,11,42,0,1,0,4,0,94,33,80,,,,2.85,0.33,1.27,1.0,0.0,0,51,266
264,u,0.0,0.0,4.0,676,164.0,0,0.0,0,0.0,0.0,708,249.0,0,0,0.0,589.0,213.0,0,0,0.0,469.0,178.0,0.0,0.0,0.0,0,0,3945,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,212.0,0.0,569.0,212.0,0.0,538.0,208.0,0.0,579.0,212.0,,,,36,,Rob,Holding,Holding,Has joined Colorado Rapids permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
