match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,attendance,lineup_status,lineup_confidence
25-26-prem-afc-bournemouth-vs-aston-villa,,,,,,False,False,,confirmed,
25-26-prem-arsenal-vs-sunderland,,,,,,False,False,,confirmed,
25-26-prem-brighton-hove-albion-vs-crystal-palace,,,,,,False,False,,confirmed,
25-26-prem-burnley-vs-west-ham-united,,,,,,False,False,,confirmed,
25-26-prem-fulham-vs-everton,,,,,,False,False,,confirmed,
25-26-prem-leeds-united-vs-nottingham-forest,,,,,,False,False,,confirmed,
25-26-prem-liverpool-vs-manchester-city,,,,,,False,False,,confirmed,
25-26-prem-manchester-united-vs-tottenham-hotspur,,,,,,False,False,,confirmed,
25-26-prem-newcastle-united-vs-brentford,,,,,,False,False,,confirmed,
25-26-prem-wolverhampton-wanderers-vs-chelsea,,,,,,False,False,,confirmed,
