match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,attendance,lineup_status,lineup_confidence
25-26-prem-afc-bournemouth-vs-west-ham-united,,,,,,False,False,,confirmed,
25-26-prem-arsenal-vs-tottenham-hotspur,,,,,,False,False,,confirmed,
25-26-prem-brighton-hove-albion-vs-brentford,,,,,,False,False,,confirmed,
25-26-prem-burnley-vs-chelsea,,,,,,False,False,,confirmed,
25-26-prem-fulham-vs-sunderland,,,,,,False,False,,confirmed,
25-26-prem-leeds-united-vs-aston-villa,,,,,,False,False,,confirmed,
25-26-prem-liverpool-vs-nottingham-forest,,,,,,False,False,,confirmed,
25-26-prem-manchester-united-vs-everton,,,,,,False,False,,confirmed,
25-26-prem-newcastle-united-vs-manchester-city,,,,,,False,False,,confirmed,
25-26-prem-wolverhampton-wanderers-vs-crystal-palace,,,,,,False,False,,confirmed,
