match_id,incident_index,incident_type,minute,added_time,team_side,player_id,player_name,secondary_player_id,secondary_player_name,assist_player_id,assist_player_name,card_type,goal_type,home_score,away_score,text
25-26-prem-afc-bournemouth-vs-manchester-united,1,substitution,90,,away,,,,,,,,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,2,card,90,,away,681,Šeško,,,,,yellow,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,3,card,90,,home,73,Smith,,,,,yellow,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,4,substitution,87,,home,,,,,,,,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,5,substitution,82,,away,,,,,,,,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,6,substitution,82,,away,,,,,,,,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,7,goal,81,,home,,,,,,,,penalty,2,2,
25-26-prem-afc-bournemouth-vs-manchester-united,8,card,78,,away,442,Maguire,,,,,red,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,9,substitution,73,,home,,,,,,,,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,10,substitution,73,,home,,,,,,,,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,11,substitution,73,,home,,,,,,,,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,12,goal,71,,away,77,Hill,,,,,,ownGoal,1,2,
25-26-prem-afc-bournemouth-vs-manchester-united,13,substitution,71,,away,,,,,,,,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,14,goal,67,,home,87,Christie,,,,,,regular,1,1,
25-26-prem-afc-bournemouth-vs-manchester-united,15,goal,61,,away,,,,,,,,penalty,0,1,
25-26-prem-afc-bournemouth-vs-manchester-united,16,card,59,,home,,,,,,,yellow,,,,
25-26-prem-afc-bournemouth-vs-manchester-united,17,card,28,,away,,,,,,,yellow,,,,
25-26-prem-aston-villa-vs-west-ham-united,1,substitution,87,,home,,,,,,,,,,,
25-26-prem-aston-villa-vs-west-ham-united,2,substitution,83,,away,,,,,,,,,,,
25-26-prem-aston-villa-vs-west-ham-united,3,substitution,83,,away,,,,,,,,,,,
25-26-prem-aston-villa-vs-west-ham-united,4,substitution,77,,home,,,,,,,,,,,
25-26-prem-aston-villa-vs-west-ham-united,5,goal,68,,home,64,Watkins,,,,,,regular,2,0,
25-26-prem-aston-villa-vs-west-ham-united,6,substitution,67,,home,,,,,,,,,,,
25-26-prem-aston-villa-vs-west-ham-united,7,substitution,67,,home,,,,,,,,,,,
25-26-prem-aston-villa-vs-west-ham-united,8,substitution,67,,home,,,,,,,,,,,
25-26-prem-aston-villa-vs-west-ham-united,9,substitution,46,,away,,,,,,,,,,,
25-26-prem-aston-villa-vs-west-ham-united,10,substitution,46,,away,,,,,,,,,,,
25-26-prem-aston-villa-vs-west-ham-united,11,card,45,,away,610,Wan-Bissaka,,,,,yellow,,,,
25-26-prem-aston-villa-vs-west-ham-united,12,goal,15,,home,54,McGinn,,,,,,regular,1,0,
25-26-prem-brighton-hove-albion-vs-liverpool,1,card,90,,home,173,Wieffer,,,,,yellow,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,2,substitution,90,,home,,,,,,,,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,3,card,90,,away,385,Chiesa,,,,,yellow,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,4,card,85,,home,146,Dunk,,,,,yellow,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,5,substitution,83,,home,,,,,,,,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,6,substitution,83,,home,,,,,,,,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,7,card,79,,away,387,Szoboszlai,,,,,yellow,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,8,substitution,77,,away,,,,,,,,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,9,substitution,76,,away,,,,,,,,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,10,substitution,76,,home,,,,,,,,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,11,substitution,76,,home,,,,,,,,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,12,card,68,,away,386,Mac Allister,,,,,yellow,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,13,substitution,63,,away,,,,,,,,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,14,card,61,,away,370,Frimpong,,,,,yellow,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,15,goal,56,,home,178,Welbeck,,,,,,regular,2,1,
25-26-prem-brighton-hove-albion-vs-liverpool,16,card,48,,home,178,Welbeck,,,,,yellow,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,17,card,45,,home,,,,,,,yellow,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,18,card,45,,away,374,Konaté,,,,,yellow,,,,
25-26-prem-brighton-hove-albion-vs-liverpool,19,goal,30,,away,371,Kerkez,,,,,,regular,1,1,
