player_id,gameweek,position,team_code,points_roll3,points_roll5,xg_roll3,xg_roll5,xa_roll3,xa_roll5,bps_roll3,bps_roll5,ict_roll3,ict_roll5,minutes_roll3,minutes_roll5,defcon_roll3,defcon_roll5,points_std5,team_xg_for_roll5,team_xg_against_roll5,team_elo,opp_xg_against_roll5,opp_elo,has_double_gw,ppm_roll5,start_rate_roll5,gkp_saves_roll3,def_clean_sheet_roll5,def_attacking_return_rate,mid_creativity_roll3,mid_threat_roll3,mid_shots_on_target_roll3,mid_touches_box_roll3,fwd_xg_roll3,fwd_shots_on_target_roll3,fwd_touches_box_roll3,is_penalty_taker,is_corner_freekick_taker,is_direct_freekick_taker
1,31,GKP,3,5.66667,4.6,0,0,0.00333333,0.002,21.6667,18.6,1.16667,1.72,90,108,0,0,2.19089,,,,,,False,0.766667,0.8,3,,,,,,,,,,0,0,0
2,31,GKP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,0,,,,,,,,,,0,0,0
3,31,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,0,,,,,,,,,,0,0,0
4,31,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,0,,,,,,,,,,0,0,0
5,31,DEF,3,9.66667,7.6,0.02,0.036,0.21,0.164,32.3333,28.8,2.53333,4.02,90,108,12.6667,13.6,3.43511,,,,,,False,1.05556,0.8,,0.4,0.4,,,,,,,,0,0,0
6,31,DEF,3,7,4.8,0.13,0.125,0.045,0.0275,20.6667,15.6,4.46667,3.62,60,72,6,6.8,5.26308,,,,,,False,0.786885,0.8,,0.2,0.2,,,,,,,,0,0,0
7,31,DEF,3,2.33333,1.8,0.05,0.03,0.03,0.02,10.3333,6.4,1.8,1.16,33,21.8,1.33333,1,2.48998,,,,,,False,0.321429,0.2,,0.2,0,,,,,,,,0,0,0
8,31,DEF,3,7.33333,5.6,0.136667,0.082,0.03,0.084,20.3333,19.8,2.76667,4.34,72.3333,90.6,7.33333,6,4.87852,,,,,,False,0.888889,0.8,,0.2,0.6,,,,,,,,0,0,0
9,31,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,0,0,,,,,,,,0,0,0
10,31,DEF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,0,0,,,,,,,,0,0,0
11,31,DEF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,0,0,,,,,,,,0,0,0
12,31,DEF,17,0,0,,,,,0,0,0,0,0,0,0,0,0,1.318,1.322,1784.7,2.034,1819.66,False,0,0,,0,0,,,,,,,,0,0,0
13,31,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,0,0,,,,,,,,0,0,0
14,31,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,0,0,,,,,,,,0,0,0
15,31,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,0,0,,,,,,,,0,0,0
16,31,MID,3,4.66667,6.4,0.0933333,0.282,0.13,0.128,15.3333,20.6,5.23333,8.3,90,90.4,6,9,4.5607,,,,,,False,0.653061,1,,,,15.1,21.3333,0.666667,6.33333,,,,1,0,0
17,31,MID,3,0,1,,0.02,,0.04,0,3.8,0,0.86,0,11.6,0,1,1.73205,,,,,,False,0.128205,0,,,,0,0,,,,,,0,0,0
18,31,MID,3,1,3.4,0.0233333,0.078,0.0266667,0.032,4,10.6,2.06667,3.66,20,38.8,1,2,5.50454,,,,,,False,0.5,0.2,,,,8,9.33333,0.333333,1.66667,,,,0,0,0
19,31,MID,3,2,2,0.0366667,0.12,0.0333333,0.044,6,6.2,1.6,3.28,40.6667,47,2.33333,4.6,1.41421,,,,,,False,0.294118,0.4,,,,4.93333,5,0.333333,1.33333,,,,0,0,0
20,31,MID,3,0.666667,1.4,0.08,0.1425,0.065,0.075,1,5.6,1.13333,2.5,28.3333,52,2.66667,4.8,1.14018,,,,,,False,0.215385,0.6,,,,5.03333,4.33333,0,3,,,,0,0,0
21,31,MID,3,3.66667,5.8,0.0333333,0.026,0.15,0.202,20.3333,25.2,4.13333,5.54,85,105,8.33333,13.6,4.65833,,,,,,False,0.794521,0.8,,,,23.9667,2.66667,0,1,,,,0,1,1
22,31,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,,,0,0,,,,,,0,0,0
23,31,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,,,0,0,,,,,,0,0,0
24,31,MID,3,0.666667,0.4,0,0,0,0,1.66667,1,0,0,8,4.8,0.666667,0.4,0.547723,,,,,,False,0.0784314,0,,,,0,0,0,0,,,,0,0,0
25,31,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,,,0,0,,,,,,0,0,0
26,31,MID,3,2.66667,3.2,0.08,0.0266667,0.21,0.183333,10.3333,15,1.86667,2.32,80.6667,102.4,6,8.6,1.64317,,,,,,False,0.627451,0.8,,,,5.93333,6.66667,0,2,,,,0,0,0
27,31,MID,94,0.333333,0.2,0.07,0.035,0,0,-0.333333,-0.2,0.0666667,0.04,1.66667,1,0.333333,0.2,0.447214,1.664,1.194,1853.47,1.624,1780.19,False,0.0416667,0,,,,0,1.33333,0,1,,,,0,0,0
28,31,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,,,0,0,,,,,,0,0,0
29,31,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,False,0,0,,,,0,0,,,,,,0,0,0
