id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
32,a,100.0,100.0,5.1,220,6.0,0,0.0,1,-1.0,4.7,81,15.0,107,2,3.8,86.0,10.0,10,462,1.0,246.0,19.0,0.2,21.0,0.0,1060343,14544,738725,4352,1.0,1.0,0.0,0.07,0.07,37.53,0.0,0.0,0.0,1.36,645.4,47.0,11.0,13.2,415.0,5.0,0.0,798.0,91.0,65.8,221.0,11.0,,,,33,,Emiliano,Martínez Romero,Martinez,,,2475,0,0,7,32,0,1,0,2,0,80,28,78,,,,2.91,0.25,1.16,1.02,0.0,0,26,236
33,a,100.0,100.0,4.2,628,29.0,0,0.0,-3,3.0,0.4,295,39.0,14,0,2.3,298.0,28.0,0,65,1.5,195.0,15.0,0.4,3.3,0.0,84679,193,116440,144,1.5,1.5,0.0,0.0,0.0,9.68,0.0,0.0,0.0,1.76,118.2,355.0,27.0,0.0,629.0,80.0,0.0,601.0,66.0,11.8,418.0,27.0,,,,33,,Marco,Bizot,M.Bizot,,,495,0,0,1,9,0,0,0,2,0,17,5,23,,,,3.09,0.18,1.64,0.91,0.0,0,7,50
34,u,0.0,0.0,4.0,689,52.0,0,0.0,0,0.0,0.1,508,75.0,0,0,0.0,598.0,74.0,0,0,0.0,434.0,63.0,0.0,0.0,0.0,0,0,17652,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,74.0,0.0,579.0,62.0,0.0,548.0,48.0,0.0,589.0,74.0,,,,33,,Joe,Gauci,Gauci,Has joined Port Vale on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
38,a,100.0,100.0,4.4,529,105.0,0,0.0,-1,1.0,7.8,49,16.0,96,1,3.1,182.0,74.0,3,465,0.5,299.0,93.0,0.1,21.8,0.0,809680,5589,2115378,4363,0.5,0.5,1.27,0.56,1.83,44.53,0.04,0.02,0.06,1.45,553.0,72.0,34.0,104.8,282.0,84.0,122.0,242.0,63.0,78.5,174.0,58.0,,,,33,,Ezri,Konsa Ngoyo,Konsa,,,2765,0,1,9,39,0,0,0,0,1,0,31,208,,,,0.0,0.29,1.27,1.01,5.89,21,160,96
39,a,,,4.2,637,145.0,0,0.0,-3,3.0,0.6,252,95.0,46,5,1.8,367.0,136.0,0,224,3.0,117.0,49.0,0.7,11.0,0.0,85336,960,117643,407,3.0,3.0,1.2,2.24,3.44,22.41,0.08,0.15,0.23,1.51,285.0,225.0,88.0,326.1,104.0,27.0,211.0,146.0,29.0,82.4,161.0,55.0,,,,33,,Ian,Maatsen,Maatsen,,,1332,0,1,2,21,0,0,0,2,0,0,14,115,,,,0.0,0.14,1.42,0.95,6.96,36,67,74
40,a,100.0,100.0,4.3,578,125.0,0,0.0,-2,2.0,0.7,242,91.0,45,1,3.2,166.0,64.0,4,152,0.5,293.0,91.0,0.1,10.5,0.0,158923,456,209923,337,0.5,0.5,1.08,0.39,1.47,19.25,0.09,0.03,0.12,1.65,231.0,264.0,109.0,72.5,317.0,106.0,96.0,270.0,77.0,40.0,315.0,106.0,,,,33,,Tyrone,Mings,Mings,,,1052,0,1,3,18,0,0,0,0,0,0,12,102,,,,0.0,0.26,1.54,1.03,7.36,4,82,33
41,a,100.0,100.0,4.3,586,131.0,0,0.0,-2,2.0,0.3,322,117.0,58,0,3.2,167.0,65.0,2,261,1.0,232.0,76.0,0.2,13.5,0.0,73581,346,99132,202,1.0,1.0,0.63,0.37,1.0,20.07,0.04,0.02,0.06,1.22,282.2,229.0,89.0,42.1,364.0,131.0,55.0,331.0,106.0,38.2,319.0,108.0,,,,33,,Pau,Torres,Pau,,,1476,0,1,5,16,1,0,0,0,0,0,16,128,,,,0.0,0.3,0.98,0.98,6.16,20,81,74
42,a,100.0,100.0,3.9,789,232.0,0,0.0,-1,1.0,0.2,371,136.0,4,0,0.8,516.0,177.0,0,7,0.5,287.0,87.0,0.1,1.0,0.0,29514,129,42009,108,0.5,0.5,0.0,0.01,0.01,1.55,0.0,0.02,0.02,3.67,3.2,490.0,174.0,2.7,458.0,165.0,0.0,523.0,204.0,0.6,498.0,174.0,,,,33,,Andrés,García,A.García,,,38,0,0,0,2,0,0,0,0,0,0,0,1,,,,0.0,0.0,4.74,0.0,2.37,1,0,2
43,u,0.0,0.0,4.0,667,162.0,0,0.0,0,0.0,1.6,160,63.0,0,0,0.0,581.0,211.0,0,0,0.0,413.0,153.0,0.0,0.0,0.0,44476,0,890425,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,210.0,0.0,560.0,210.0,0.0,529.0,206.0,0.0,572.0,210.0,,,,33,,Álex,Moreno Lopera,Alex Moreno,Has joined Girona permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
44,a,100.0,100.0,4.0,709,183.0,0,0.0,0,0.0,0.5,258,98.0,34,0,1.4,422.0,153.0,4,107,0.0,452.0,172.0,0.0,8.5,0.0,110301,246,95739,390,0.0,0.0,0.0,0.19,0.19,11.99,0.0,0.02,0.02,1.35,109.0,365.0,139.0,54.0,346.0,121.0,14.0,400.0,145.0,17.6,395.0,140.0,,,,33,,Lamare,Bogarde,Bogarde,,,797,0,0,2,13,0,0,0,5,0,0,8,57,,,,0.0,0.23,1.47,0.9,5.42,20,28,33
