player_id,gameweek,position,team_code,points_roll3,points_roll5,xg_roll3,xg_roll5,xa_roll3,xa_roll5,bps_roll3,bps_roll5,ict_roll3,ict_roll5,minutes_roll3,minutes_roll5,defcon_roll3,defcon_roll5,points_std5,team_xg_for_roll5,team_xg_against_roll5,team_elo,opp_xg_against_roll5,opp_elo,has_double_gw,ppm_roll5,start_rate_roll5,gkp_saves_roll3,def_clean_sheet_roll5,def_attacking_return_rate,mid_creativity_roll3,mid_threat_roll3,mid_shots_on_target_roll3,mid_touches_box_roll3,fwd_xg_roll3,fwd_shots_on_target_roll3,fwd_touches_box_roll3,is_penalty_taker,is_corner_freekick_taker,is_direct_freekick_taker
1,36,GKP,3,5.66667,3.6,0,0,0,0,20.3333,13.8,1.86667,1.4,90,72,0,0,4.27785,2.07,0.994,2063.76,1.346,1768.8,False,0.590164,0.8,2,,,,,,,,,,0,0,0
2,36,GKP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,0,,,,,,,,,,0,0,0
3,36,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,0,,,,,,,,,,0,0,0
4,36,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,0,,,,,,,,,,0,0,0
5,36,DEF,3,4.66667,3.6,0.22,0.185,0.0133333,0.0125,19.3333,14,5,3.76,90,72,8,6.4,3.57771,2.07,0.994,2063.76,1.346,1768.8,False,0.493151,0.8,,0.4,0.2,,,,,,,,0,0,0
6,36,DEF,3,5.33333,3.4,0,0,0.113333,0.085,22.6667,16,3.2,2.5,90,72,7.33333,5.6,3.04959,2.07,0.994,2063.76,1.346,1768.8,False,0.548387,0.8,,0.4,0,,,,,,,,0,0,0
7,36,DEF,3,2,1.2,0.23,0.23,0.02,0.02,6.66667,4,2.56667,1.54,30,18,2,1.2,2.68328,2.07,0.994,2063.76,1.346,1768.8,False,0.214286,0.2,,0.2,0,,,,,,,,0,0,0
8,36,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,,0,0,,,,,,,,0,0,0
9,36,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,,0,0,,,,,,,,0,0,0
10,36,DEF,3,2.33333,1.6,0,0.0125,0.0266667,0.025,10.3333,7.2,1.16667,1.16,33,37.8,1.33333,1.8,2.50998,2.07,0.994,2063.76,1.346,1768.8,False,0.32,0.4,,0.2,0,,,,,,,,0,0,0
11,36,DEF,3,4.33333,2.8,0,0.005,0.0566667,0.0475,17.6667,13.2,1.83333,1.8,62.6667,52.6,2.66667,3.4,2.94958,2.07,0.994,2063.76,1.346,1768.8,False,0.54902,0.6,,0.4,0,,,,,,,,0,0,0
12,36,DEF,17,0,0,,,,,0,0,0,0,0,0,0,0,0,1.366,1.096,1822.17,2.004,1837.53,False,0,0,,0,0,,,,,,,,0,0,0
13,36,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,,0,0,,,,,,,,0,0,0
14,36,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,,0,0,,,,,,,,0,0,0
15,36,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,,0,0,,,,,,,,0,0,0
16,36,MID,3,4,2.4,0.17,0.17,0.435,0.435,16,9.6,5.06667,3.04,18,10.8,1.66667,1,4.82701,2.07,0.994,2063.76,1.346,1768.8,False,0.24,0.2,,,,19.9,11.3333,0.5,3.5,,,,1,0,0
17,36,MID,3,1.66667,1,0.015,0.015,0.275,0.275,10.6667,6.4,4.63333,2.78,60,36,5.33333,3.2,1.41421,2.07,0.994,2063.76,1.346,1768.8,False,0.128205,0.4,,,,32.1333,5,0.5,2,,,,0,0,0
18,36,MID,3,1.66667,1.2,0.01,0.0075,0.14,0.1225,4.66667,3.6,2.43333,1.72,56.6667,44.6,4.33333,3,1.09545,2.07,0.994,2063.76,1.346,1768.8,False,0.176471,0.6,,,,11.5,9,0.333333,3,,,,0,0,0
19,36,MID,3,0.333333,0.4,0.153333,0.115,0.00666667,0.0075,0.666667,1,1.66667,1.28,27.3333,27,2.33333,1.6,0.547723,2.07,0.994,2063.76,1.346,1768.8,False,0.0588235,0.2,,,,5.56667,8.66667,0.666667,1,,,,0,0,0
20,36,MID,3,2.66667,1.8,0.0366667,0.0275,0.243333,0.185,17,11,4.26667,3.12,35.3333,28.4,3,2.2,2.94958,2.07,0.994,2063.76,1.346,1768.8,False,0.276923,0.2,,,,16.9333,12.3333,0.666667,2,,,,0,0,0
21,36,MID,3,3,2.6,0,0.025,0.0466667,0.1175,10.6667,11.6,2.3,2.84,81,66.6,8.66667,6.8,1.94936,2.07,0.994,2063.76,1.346,1768.8,False,0.361111,0.8,,,,11.5,2,0,1,,,,0,1,1
22,36,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,,,,0,0,,,,,,0,0,0
23,36,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,,,,0,0,,,,,,0,0,0
24,36,MID,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,,,,0,0,0,0,,,,0,0,0
25,36,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.07,0.994,2063.76,1.346,1768.8,False,0,0,,,,0,0,,,,,,0,0,0
26,36,MID,3,3.33333,2.4,,,,,12,10,2.26667,1.76,63,52.8,10.3333,8.2,2.07364,2.07,0.994,2063.76,1.346,1768.8,False,0.489796,0.6,,,,8,3,,,,,,0,0,0
