match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,lineup_status
25-26-champions-league-chelsea-vs-napoli,,,,,,False,False,confirmed
25-26-champions-league-galatasaray-vs-manchester-city,,,,,,False,False,confirmed
25-26-champions-league-kairat-almaty-vs-arsenal,,,,,,False,False,confirmed
25-26-champions-league-newcastle-united-vs-paris-saint-germain,,,,,,False,False,confirmed
25-26-champions-league-qarabag-fk-vs-liverpool,,,,,,False,False,confirmed
25-26-champions-league-tottenham-hotspur-vs-eintracht-frankfurt,,,,,,False,False,confirmed
25-26-europa-league-ferencvaros-vs-nottingham-forest,,,,,,False,False,confirmed
25-26-europa-league-salzburg-vs-aston-villa,,,,,,False,False,confirmed
25-26-prem-aston-villa-vs-brentford,,,,,,False,False,confirmed
25-26-prem-brighton-hove-albion-vs-everton,,,,,,False,False,confirmed
25-26-prem-chelsea-vs-west-ham-united,,,,,,False,False,confirmed
25-26-prem-leeds-united-vs-arsenal,,,,,,False,False,confirmed
25-26-prem-liverpool-vs-newcastle-united,,,,,,False,False,confirmed
25-26-prem-manchester-united-vs-fulham,,,,,,False,False,confirmed
25-26-prem-nottingham-forest-vs-crystal-palace,,,,,,False,False,confirmed
25-26-prem-sunderland-vs-burnley,,,,,,False,False,confirmed
25-26-prem-tottenham-hotspur-vs-manchester-city,,,,,,False,False,confirmed
25-26-prem-wolverhampton-wanderers-vs-afc-bournemouth,,,,,,False,False,confirmed
