player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches,penalties_won,penalties_conceded,penalties_faced,penalties_saved
495,26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,Austin,8.2,0,0,18,1,0,0,0,0,0,0,1,,,,
508,26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,Davies,7.2,1,0,44,2,0,0,0,0,0,0,0,,,,
514,26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,Tel,7.5,9,1,19,1,4,6,4,0,0,0,0,,,,
519,26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,Gallagher,6.4,6,0,31,0,0,1,4,0,0,0,0,,,,
522,26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,Gray,7.2,7,0,39,4,1,1,1,0,0,0,0,,,,
523,26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,Moore,6.6,13,1,19,2,2,2,8,0,0,0,0,,,,
525,26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,Fernandes,6.6,6,0,23,1,0,0,3,0,0,0,0,,,,
528,26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,Scarlett,7.0,3,2,8,0,0,0,2,0,0,0,0,,,,
199,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Benitez,6.6,3,0,21,5,0,0,0,0,0,0,0,,,,
203,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Canvot,7.2,8,0,47,6,0,0,0,0,0,0,0,,,,
204,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Mitchell,5.7,10,1,26,2,2,0,1,0,0,0,0,,,,
205,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Sosa,5.9,11,0,41,7,2,0,1,0,0,0,0,,,,
209,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Johnson,6.9,9,0,12,2,3,0,1,0,0,0,0,,,,
212,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Hughes,6.8,6,1,18,2,2,1,1,1,0,0,0,,,,
215,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Devenny,6.8,4,0,23,2,0,0,2,0,0,0,0,,,,
216,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Esse,6.7,8,1,18,1,1,0,3,1,0,0,0,,,,
218,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Doucouré,6.5,9,0,35,3,0,1,2,0,0,0,0,,,,
219,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,J.Rak-Sakyi,6.6,3,0,13,0,0,0,2,1,0,0,0,,,,
220,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Cardines,6.6,7,0,28,4,1,0,2,1,0,0,0,,,,
221,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Drakes-Thomas,6.5,4,0,14,0,2,0,1,0,0,0,0,,,,
224,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,Nketiah,6.5,8,4,17,0,0,1,2,0,0,0,0,,,,
199,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Benitez,7.2,5,0,18,9,0,0,0,0,0,0,0,,,,
203,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Canvot,7.4,8,0,40,5,0,1,1,0,0,0,0,,,,
204,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Mitchell,6.5,7,0,19,2,0,1,2,1,0,0,0,,,,
205,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Sosa,7.0,5,0,36,7,0,0,1,0,0,0,0,,,,
207,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Mingueza,6.0,7,0,17,4,0,3,8,0,0,0,0,,,,
209,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Johnson,6.4,5,0,14,1,1,1,1,0,0,0,0,,,,
212,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Hughes,7.0,5,0,39,4,2,0,2,1,0,0,0,,,,
215,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Devenny,6.7,9,0,32,0,1,3,2,0,0,0,0,,,,
216,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Esse,7.8,7,1,17,2,0,2,4,0,0,0,0,,,,
218,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Doucouré,6.7,3,0,25,1,0,0,1,1,0,0,0,,,,
219,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,J.Rak-Sakyi,6.6,3,0,9,0,0,1,3,0,0,0,0,,,,
220,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Cardines,6.6,5,0,13,1,1,1,1,0,0,0,0,,,,
221,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Drakes-Thomas,7.5,4,0,14,0,0,2,2,0,0,0,0,,,,
224,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Nketiah,8.3,6,0,6,0,0,2,6,3,0,0,0,,,,
555,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Matthews,6.9,2,0,17,3,0,0,0,0,0,0,0,,,,
46,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Barkley,,0,0,0,0,0,0,0,0,1,0,0,,,,
442,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Pope,6.0,0,0,11,0,0,0,0,0,0,0,0,,,,
444,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Jaouen,6.5,0,0,4,0,0,0,0,0,0,0,0,,,,
446,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Schär,6.6,7,0,60,11,0,0,2,0,0,0,0,,,,
449,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Hall,6.2,15,0,66,4,2,0,5,0,0,0,0,,,,
451,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,A.Murphy,7.0,6,0,71,7,0,0,2,1,0,0,0,,,,
453,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Barnes,6.1,13,1,37,0,0,3,6,0,0,0,0,,,,
456,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,J.Ramsey,6.8,10,0,52,1,0,0,2,0,0,0,0,,,,
457,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,J.Murphy,6.4,15,1,31,0,5,2,5,0,0,0,0,,,,
460,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Willock,6.6,11,1,50,2,0,2,4,0,0,0,0,,,,
462,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Steur,7.2,8,1,88,2,2,0,3,1,0,0,0,,,,
466,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Neave,6.8,4,0,5,0,0,2,4,1,0,0,0,,,,
283,26-27-friendly-konyaspor-vs-hull-city-2026-07-25,Jacob,,0,0,0,0,0,0,0,0,1,0,0,,,,
351,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Mamardashvili,6.0,5,0,15,7,0,0,0,0,0,0,0,,,,
352,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Woodman,6.7,2,0,6,3,0,0,0,0,0,0,0,,,,
357,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Frimpong,5.8,7,0,38,2,2,0,4,0,0,0,0,,,,
358,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Kerkez,6.3,10,0,26,1,4,3,4,0,0,0,0,,,,
359,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Gomez,6.7,1,0,5,1,0,0,0,0,0,0,0,,,,
364,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Tsimikas,6.2,6,0,26,3,0,0,2,0,0,0,0,,,,
365,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Ramsay,7.1,4,0,17,3,0,0,2,1,0,0,0,,,,
368,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Szoboszlai,8.2,3,0,29,4,2,0,3,0,0,0,0,,,,
369,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Ngumoha,6.3,3,0,9,0,0,3,5,1,0,0,0,,,,
370,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Chiesa,7.9,2,0,12,0,0,0,1,0,0,0,0,,,,
373,26-27-friendly-liverpool-vs-sunderland-2026-07-25,C.Jones,6.9,4,0,29,6,1,0,1,0,0,0,0,,,,
375,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Nyoni,7.2,7,0,46,7,0,0,1,0,0,0,0,,,,
378,26-27-friendly-liverpool-vs-sunderland-2026-07-25,McConnell,6.7,3,0,25,3,0,1,1,1,0,0,0,,,,
381,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Koumas,7.6,1,1,11,0,0,1,3,0,0,0,0,,,,
383,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Elliott,6.7,3,0,18,1,0,0,1,0,0,0,0,,,,
531,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Ellborg,6.5,8,0,27,9,0,0,0,0,0,0,0,,,,
532,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Ballard,6.4,3,0,26,3,0,0,1,0,1,0,0,,,,
533,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Mukiele,6.8,7,0,18,2,1,0,0,0,0,0,0,,,,
534,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Hume,6.6,2,0,10,0,1,0,1,0,0,0,0,,,,
536,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Reinildo,6.4,3,0,12,1,0,0,0,0,0,0,0,,,,
537,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Seelt,6.0,1,0,9,1,0,0,0,0,0,0,0,,,,
538,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Hjelde,5.8,10,0,27,3,0,2,1,1,0,0,0,,,,
539,26-27-friendly-liverpool-vs-sunderland-2026-07-25,O'Nien,6.6,1,0,31,3,0,0,0,0,0,0,0,,,,
542,26-27-friendly-liverpool-vs-sunderland-2026-07-25,E.Le Fée,7.4,5,0,24,1,0,0,3,1,0,0,0,,,,
