gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,home_distance_covered,away_distance_covered,home_walking_distance,away_walking_distance,home_running_distance,away_running_distance,home_sprinting_distance,away_sprinting_distance,home_number_of_sprints,away_number_of_sprints,home_top_speed,away_top_speed,tournament
36.0,,31.0,1799.1,2.0,2.0,11.0,1824.42,True,25-26-prem-crystal-palace-vs-everton,/matches/everton-vs-crystal-palace/2tttz7#4813727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813727.0,False,False,,,,,,,,,,,,,prem
36.0,,90.0,1659.06,2.0,2.0,7.0,1874.76,True,25-26-prem-burnley-vs-aston-villa,/matches/burnley-vs-aston-villa/2t9lxd#4813726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813726.0,False,False,,,,,,,,,,,,,prem
36.0,,17.0,1841.94,1.0,1.0,4.0,1837.15,True,25-26-prem-nottingham-forest-vs-newcastle-united,/matches/nottingham-forest-vs-newcastle-united/3gocct#4813731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813731.0,False,False,,,,,,,,,,,,,prem
36.0,,21.0,1759.85,0.0,0.0,3.0,2053.04,True,25-26-prem-west-ham-united-vs-arsenal,/matches/west-ham-united-vs-arsenal/2tnw09#4813734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813734.0,False,False,,,,,,,,,,,,,prem
36.0,,17.0,1841.94,0.0,4.0,7.0,1874.76,True,25-26-europa-league-nottingham-forest-vs-aston-villa,/matches/nottingham-forest-vs-aston-villa/3gke9k#5206176,51.0,49.0,2.74,0.79,18.0,7.0,10.0,2.0,3.0,1.0,1.0,1.0,317.0,299.0,83.0,83.0,13.0,12.0,6.0,3.0,1.14,0.74,0.81,0.05,1.95,0.79,4.48,0.68,3.0,4.0,5.0,1.0,0.0,0.0,12.0,4.0,6.0,3.0,381.0,362.0,171.0,184.0,146.0,115.0,14.0,23.0,39.0,44.0,2.0,2.0,17.0,13.0,14.0,12.0,23.0,10.0,1.0,2.0,0.0,2.0,0.0,0.0,7.0,14.0,,,8.0,17.0,1.0,5.0,13.0,15.0,2.0,6.0,43.0,46.0,26.0,30.0,46.0,54.0,17.0,16.0,52.0,48.0,7.0,3.0,47.0,60.0,,True,False,,,,,,,,,,,,,europa-league
36.0,2025-10-21T19:00:00,,,0.0,1.0,3.0,2053.04,True,25-26-champions-league-atletico-madrid-vs-arsenal,/matches/arsenal-vs-atletico-madrid/37wkxc#5205814,,,2.19,0.67,19.0,11.0,8.0,1.0,6.0,1.0,4.0,1.0,378.0,332.0,90.0,84.0,14.0,10.0,3.0,4.0,1.44,0.32,0.75,0.35,2.19,0.67,3.08,0.11,6.0,6.0,5.0,4.0,1.0,1.0,16.0,8.0,3.0,3.0,421.0,394.0,180.0,202.0,198.0,130.0,19.0,17.0,61.0,44.0,3.0,4.0,20.0,22.0,18.0,19.0,32.0,21.0,2.0,0.0,1.0,2.0,0.0,0.0,10.0,21.0,,,10.0,8.0,4.0,5.0,18.0,29.0,1.0,4.0,36.0,46.0,29.0,35.0,45.0,55.0,7.0,11.0,39.0,61.0,9.0,2.0,39.0,33.0,,True,True,,,,,,,,,,,,,champions-league
36.0,,36.0,1854.49,3.0,0.0,39.0,1677.9,True,25-26-prem-brighton-hove-albion-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4813725,72.0,28.0,1.46,0.46,13.0,5.0,6.0,1.0,4.0,1.0,1.0,1.0,481.0,140.0,87.0,67.0,9.0,11.0,7.0,1.0,0.93,0.2,0.52,0.26,1.46,0.46,3.26,0.07,4.0,4.0,3.0,0.0,0.0,1.0,10.0,4.0,3.0,1.0,553.0,210.0,280.0,93.0,201.0,47.0,33.0,12.0,59.0,24.0,8.0,3.0,32.0,50.0,24.0,13.0,36.0,15.0,1.0,3.0,1.0,2.0,0.0,0.0,15.0,17.0,,,9.0,11.0,0.0,1.0,8.0,32.0,1.0,3.0,47.0,42.0,34.0,35.0,49.0,51.0,13.0,7.0,65.0,35.0,8.0,9.0,47.0,64.0,4813725.0,False,False,,,,,,,,,,,,,prem
36.0,,56.0,1700.22,0.0,0.0,1.0,1896.6,True,25-26-prem-sunderland-vs-manchester-united,/matches/sunderland-vs-manchester-united/2wgr5i#4813732,51.0,49.0,1.25,0.62,15.0,11.0,4.0,1.0,2.0,0.0,2.0,0.0,414.0,392.0,84.0,82.0,12.0,12.0,6.0,7.0,0.74,0.41,0.5,0.22,1.25,0.62,1.81,0.09,6.0,5.0,5.0,5.0,1.0,0.0,9.0,6.0,6.0,5.0,493.0,478.0,200.0,195.0,214.0,197.0,18.0,28.0,49.0,50.0,2.0,4.0,12.0,25.0,8.0,13.0,27.0,21.0,1.0,0.0,0.0,3.0,0.0,0.0,10.0,14.0,,,10.0,11.0,5.0,5.0,22.0,24.0,1.0,4.0,44.0,38.0,27.0,30.0,47.0,53.0,17.0,8.0,68.0,32.0,6.0,5.0,40.0,56.0,4813732.0,False,False,,,,,,,,,,,,,prem
36.0,,14.0,1925.09,1.0,1.0,8.0,1827.89,True,25-26-prem-liverpool-vs-chelsea,/matches/chelsea-vs-liverpool/2f3vr7#4813729,48.0,52.0,0.56,0.5,8.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,398.0,446.0,84.0,87.0,17.0,17.0,5.0,2.0,0.17,0.41,0.39,0.08,0.56,0.5,0.51,0.41,4.0,2.0,1.0,1.0,2.0,0.0,5.0,4.0,3.0,2.0,473.0,515.0,256.0,232.0,142.0,214.0,15.0,11.0,34.0,26.0,6.0,2.0,38.0,29.0,16.0,17.0,24.0,22.0,2.0,2.0,2.0,4.0,0.0,0.0,10.0,20.0,,,6.0,10.0,1.0,1.0,10.0,14.0,2.0,2.0,42.0,55.0,34.0,46.0,43.0,58.0,8.0,9.0,47.0,53.0,8.0,9.0,44.0,69.0,4813729.0,False,False,,,,,,,,,,,,,prem
36.0,,54.0,1807.66,0.0,1.0,91.0,1858.42,True,25-26-prem-fulham-vs-afc-bournemouth,/matches/afc-bournemouth-vs-fulham/2uiul6#4813728,60.0,40.0,1.33,0.82,14.0,10.0,2.0,5.0,1.0,2.0,1.0,2.0,456.0,308.0,88.0,86.0,12.0,21.0,11.0,2.0,0.72,0.78,0.61,0.04,1.33,0.82,0.16,0.72,6.0,3.0,6.0,2.0,2.0,1.0,11.0,5.0,3.0,5.0,520.0,359.0,240.0,183.0,216.0,125.0,23.0,25.0,61.0,45.0,3.0,3.0,11.0,33.0,14.0,7.0,33.0,17.0,1.0,3.0,4.0,2.0,1.0,1.0,16.0,11.0,,,5.0,5.0,3.0,6.0,9.0,33.0,3.0,2.0,57.0,39.0,44.0,28.0,61.0,39.0,13.0,11.0,54.0,46.0,7.0,5.0,58.0,56.0,4813728.0,False,False,,,,,,,,,,,,,prem
