match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,lineup_status
25-26-champions-league-atletico-madrid-vs-arsenal,,,,,,False,False,confirmed
25-26-prem-brighton-hove-albion-vs-wolverhampton-wanderers,239,clear,20,18.5,1,False,False,confirmed
25-26-prem-burnley-vs-aston-villa,144,rain,10,10.6,1,False,False,confirmed
25-26-prem-crystal-palace-vs-everton,300,,12,17.4,1,False,False,confirmed
25-26-prem-fulham-vs-afc-bournemouth,140,unknown,21,12.8,1,False,False,confirmed
25-26-prem-liverpool-vs-chelsea,287,,15,5.4,1,False,False,confirmed
25-26-prem-manchester-city-vs-brentford,257,,14,14.4,1,False,False,confirmed
25-26-prem-manchester-city-vs-crystal-palace,273,,10,10.2,1,False,False,confirmed
25-26-prem-nottingham-forest-vs-newcastle-united,229,cloudy,14,16.2,1,False,False,confirmed
25-26-prem-sunderland-vs-manchester-united,172,,8,21.8,1,False,False,confirmed
25-26-prem-tottenham-hotspur-vs-leeds-united,263,unknown,10,9.9,1,False,False,confirmed
25-26-prem-west-ham-united-vs-arsenal,6,rain,13,17.4,1,True,False,confirmed
