match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,attendance,lineup_status,lineup_confidence
26-27-prem-arsenal-vs-sunderland,,,,,,False,False,,,
26-27-prem-brentford-vs-afc-bournemouth,,,,,,False,False,,,
26-27-prem-brighton-hove-albion-vs-coventry-city,,,,,,False,False,,,
26-27-prem-everton-vs-tottenham-hotspur,,,,,,False,False,,,
26-27-prem-fulham-vs-liverpool,,,,,,False,False,,,
26-27-prem-hull-city-vs-chelsea,,,,,,False,False,,,
26-27-prem-ipswich-town-vs-crystal-palace,,,,,,False,False,,,
26-27-prem-manchester-city-vs-manchester-united,,,,,,False,False,,,
26-27-prem-newcastle-united-vs-leeds-united,,,,,,False,False,,,
26-27-prem-nottingham-forest-vs-aston-villa,,,,,,False,False,,,
