id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
80,a,,,5.5,118,28,0,0,0,0,0.2,351,60,0,0,1.2,350,40,0,0,0.0,360,25,0.0,4.9,0,0,0,0,0,1.8,,0.0,0.0,0.0,0.0,0.84,0.03,0.87,2.59,0.0,322,35,0.0,315,40,0.0,229,38,0.0,311,37,,5.0,,1,,Enes,Ünal,Enes Ünal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,1.26,0.0,9.67,0,0,0
81,a,,,6.0,104,26,0,0,0,0,0.2,322,57,0,0,0.0,557,67,0,0,0.0,504,56,0.0,0.0,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557,67,0.0,557,67,0.0,557,67,0.0,557,67,,,,1,,Álvaro,Rodríguez,Rodríguez,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
82,a,,,5.0,244,10,0,0,0,0,5.5,70,9,0,0,3.9,64,5,0,0,0.0,224,50,0.0,28.6,0,0,0,0,0,2.6,,0.0,0.0,0.0,0.0,0.0,0.01,0.01,1.45,0.0,12,3,0.0,320,5,0.0,490,53,0.0,143,3,,,,1,,Caoimhín,Kelleher,Kelleher,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.95,0.27,1.32,1.0,0.0,0,0,0
83,a,,,4.5,458,38,0,0,0,0,0.1,423,50,0,0,1.0,364,31,0,0,0.0,154,40,0.0,0.2,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,365,31,0.0,467,50,0.0,455,44,0.0,383,31,,,,1,,Hákon Rafn,Valdimarsson,Valdimarsson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,3.0,1.0,0.0,0,0,0
84,a,,,5.5,155,19,0,0,0,0,2.0,125,49,0,0,3.7,79,32,0,0,0.0,397,162,0.0,23.5,0,0,0,0,0,2.5,,0.0,0.0,0.0,0.0,0.07,0.05,0.12,1.44,0.0,20,8,0.0,206,54,0.0,86,10,0.0,73,16,,,,1,,Nathan,Collins,Collins,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.27,1.33,0.97,9.66,0,0,0
85,a,,,5.0,291,55,0,0,0,0,0.7,220,79,0,0,3.5,103,42,0,0,0.0,271,135,0.0,22.6,0,0,0,0,0,2.2,,0.0,0.0,0.0,0.0,0.11,0.05,0.16,1.36,0.0,58,25,0.0,239,76,0.0,97,13,0.0,115,34,,,,1,,Sepp,van den Berg,Van den Berg,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.26,1.34,0.98,8.87,0,0,0
86,a,,,5.5,151,94,0,0,0,0,0.5,251,86,0,0,3.2,148,58,0,0,0.0,393,139,0.0,20.9,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.14,0.12,0.26,1.55,0.0,159,63,0.0,106,76,0.0,75,46,0.0,114,64,,1.0,,1,,Keane,Lewis-Potter,Lewis-Potter,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.41,1.47,1.01,3.4,0,0,0
87,a,,,4.5,401,88,0,0,0,0,0.8,203,72,0,0,2.8,189,77,0,0,0.0,97,62,0.0,16.9,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.03,0.04,0.07,1.57,0.0,152,62,0.0,278,94,0.0,182,49,0.0,216,70,,,,1,,Kristoffer,Ajer,Ajer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.25,1.6,1.0,9.57,0,0,0
88,a,,,4.5,490,136,0,0,0,0,4.4,81,32,0,0,3.1,157,64,0,0,0.0,186,110,0.0,25.1,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.04,0.08,0.12,1.45,0.0,71,30,0.0,55,8,0.0,207,57,0.0,84,21,,,,1,,Michael,Kayode,Kayode,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.28,1.35,1.02,6.05,0,0,0
89,a,,,4.5,402,89,0,0,0,0,0.2,363,127,0,0,2.1,274,104,0,0,0.0,98,63,0.0,11.6,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.01,0.04,0.05,1.63,0.0,275,102,0.0,254,84,0.0,292,98,0.0,299,101,,,,1,,Rico,Henry,Henry,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.27,1.5,0.95,4.63,0,0,0
90,a,,,4.5,443,119,0,0,0,0,0.1,460,159,0,0,1.8,301,112,0,0,0.0,139,93,0.0,8.2,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.06,0.02,0.08,1.2,0.0,304,109,0.0,328,114,0.0,281,91,0.0,320,109,,,,1,,Aaron,Hickey,Hickey,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.27,1.19,1.06,6.76,0,0,0
91,a,,,4.5,417,101,0,0,0,0,0.1,442,152,0,0,3.5,99,39,0,0,0.0,113,75,0.0,3.1,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1.05,0.0,310,113,0.0,370,129,0.0,295,99,0.0,328,112,,,,1,,Ethan,Pinnock,Pinnock,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.28,1.42,1.13,11.89,0,0,0
92,a,,,4.5,477,130,0,0,0,0,0.0,513,173,0,0,0.0,488,177,0,0,0.0,173,104,0.0,0.0,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484,177,0.0,480,177,0.0,471,177,0.0,486,177,,,,1,,Kim,Ji-soo,Ji-soo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
93,a,,,4.5,459,124,0,0,0,0,0.1,418,143,0,0,0.0,478,175,0,0,0.0,155,98,0.0,0.0,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473,175,0.0,468,175,0.0,456,174,0.0,475,175,,,,1,,Jannik,Schuster,Schuster,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
94,a,,,6.0,100,65,0,0,0,0,2.4,114,37,0,0,3.6,94,40,0,0,0.0,500,203,0.0,20.8,0,0,0,0,0,2.1,,0.0,0.0,0.0,0.0,0.4,0.07,0.47,1.31,0.0,100,31,0.0,89,66,0.0,12,7,0.0,33,25,,,2.0,1,,Kevin,Schade,Schade,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.36,1.12,1.05,6.23,0,0,0
95,a,,,6.5,53,37,0,0,0,0,1.3,171,56,0,0,4.2,44,20,0,0,0.0,532,228,0.0,20.9,0,0,0,0,0,2.3,,0.0,0.0,0.0,0.0,0.31,0.16,0.47,1.38,0.0,112,38,0.0,65,50,0.0,23,10,0.0,42,29,8.0,,,1,,Dango,Ouattara,O.Dango,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.24,1.39,0.99,7.33,0,0,0
96,a,,,5.5,159,100,0,0,0,0,0.7,225,76,0,0,3.4,116,46,0,0,0.0,401,145,0.0,20.5,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.11,0.24,0.35,1.39,0.0,106,34,0.0,26,25,0.0,85,53,0.0,49,31,6.0,3.0,,1,,Mikkel,Damsgaard,Damsgaard,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.22,1.41,1.06,10.6,0,0,0
97,a,,,5.5,135,84,0,0,0,0,0.1,395,153,0,0,2.7,209,81,0,0,0.0,377,129,0.0,17.8,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.09,0.24,0.33,1.44,0.0,140,52,0.0,29,28,0.0,155,84,0.0,77,48,5.0,2.0,3.0,1,,Mathias,Jensen,Jensen,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.36,1.33,1.05,8.84,0,0,0
98,a,,,5.0,248,152,0,0,0,0,0.1,406,161,0,0,3.0,169,63,0,0,0.0,228,45,0.0,14.8,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.05,0.14,0.19,1.67,0.0,172,69,0.0,99,72,0.0,234,126,0.0,176,85,7.0,,,1,,Vitaly,Janelt,Janelt,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.31,1.32,0.94,11.49,0,0,0
99,d,75.0,,5.0,347,207,0,0,0,0,0.0,560,247,0,0,1.0,380,176,0,0,0.0,327,100,0.0,0.2,0,0,0,0,0,1.1,,0.0,0.0,0.0,0.0,0.0,0.02,0.02,2.98,0.0,380,176,0.0,368,184,0.0,530,227,0.0,388,182,,,,1,,Antoni,Milambo,Milambo,Knee injury - 75% chance of playing,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,6.0,2.0,8.0,0,0,0
100,i,0.0,,5.0,279,167,0,0,0,0,0.0,559,246,0,0,2.2,268,113,0,0,0.0,259,60,0.0,2.6,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.63,0.03,0.66,1.87,0.0,343,158,0.0,349,173,0.0,291,152,0.0,345,162,,,,1,,Fábio,Freitas Gouveia Carvalho,Carvalho,Knee injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,3.6,0.9,7.2,0,0,0
101,u,0.0,,5.0,214,133,0,0,0,0,0.1,486,199,0,0,2.4,243,96,0,0,0.0,194,26,0.0,15.2,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.02,0.11,0.13,1.33,0.0,181,75,0.0,95,69,0.0,277,147,0.0,184,92,,,,1,,Jordan,Henderson,Henderson,has departed the club as a free agent.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.28,1.32,1.04,8.62,0,0,0
