match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,lineup_status
25-26-prem-aston-villa-vs-afc-bournemouth,,,,,,False,False,confirmed
25-26-prem-brentford-vs-newcastle-united,,,,,,False,False,confirmed
25-26-prem-chelsea-vs-wolverhampton-wanderers,,,,,,False,False,confirmed
25-26-prem-crystal-palace-vs-brighton-hove-albion,,,,,,False,False,confirmed
25-26-prem-everton-vs-fulham,,,,,,False,False,confirmed
25-26-prem-manchester-city-vs-liverpool,,,,,,False,False,confirmed
25-26-prem-nottingham-forest-vs-leeds-united,,,,,,False,False,confirmed
25-26-prem-sunderland-vs-arsenal,,,,,,False,False,confirmed
25-26-prem-tottenham-hotspur-vs-manchester-united,,,,,,False,False,confirmed
25-26-prem-west-ham-united-vs-burnley,,,,,,False,False,confirmed
