match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,attendance,lineup_status,lineup_confidence
26-27-prem-aston-villa-vs-chelsea,,,,,,False,False,,,
26-27-prem-coventry-city-vs-afc-bournemouth,,,,,,False,False,,,
26-27-prem-crystal-palace-vs-sunderland,,,,,,False,False,,,
26-27-prem-everton-vs-nottingham-forest,,,,,,False,False,,,
26-27-prem-fulham-vs-leeds-united,,,,,,False,False,,,
26-27-prem-hull-city-vs-manchester-city,,,,,,False,False,,,
26-27-prem-ipswich-town-vs-brighton-hove-albion,,,,,,False,False,,,
26-27-prem-manchester-united-vs-arsenal,,,,,,False,False,,,
26-27-prem-newcastle-united-vs-brentford,,,,,,False,False,,,
26-27-prem-tottenham-hotspur-vs-liverpool,,,,,,False,False,,,
