id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
744,Nehemiah,Oriola,Oriola,a,,,4.5,468,284.0,0.0,712,291.0,0.0,662.0,251.0,0,0,0.0,0,0.0,19,11,0.0,0.2,0.5,1.0,1.0,490.0,219.0,,,733.0,298.0,728.0,299.0,712.0,293.0,734.0,299.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
761,Freddie,Simmonds,Simmonds,a,,,4.0,741,203.0,0.0,686,243.0,0.0,522.0,210.0,0,0,0.0,0,0.0,16,10,0.0,0.0,0.5,1.0,0.0,640.0,242.0,,,629.0,242.0,622.0,242.0,592.0,239.0,631.0,242.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
783,Pascal,Groß,Groß,a,,,5.6,121,76.0,3.2,104,35.0,6.0,14.0,6.0,6,0,0.0,1,-1.0,8368,2188,1.1,13.0,6.5,7.0,4.3,39.0,17.0,,,191.0,76.0,33.0,30.0,205.0,110.0,100.0,57.0,1.0,,,,,,,0.08,0.21,0.29,1.13,0.0,0.37,0.8,0.99,8.22,36,6.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,38014.0,5318.0,0.0,0.22999999999999998,0.16999999999999993,0.40000000000000036,0.48999999999999844,20.0,25.399999999999977,37.0,8.200000000000003,4.0,0.0,2.0,6.0
795,Harry,Howell,Howell,a,,,4.5,496,307.0,0.0,768,327.0,0.0,689.0,274.0,0,0,0.0,0,0.0,9,6,0.0,0.9,0.5,1.0,1.3,440.0,192.0,,,473.0,208.0,456.0,219.0,456.0,225.0,483.0,217.0,,,,,,,,0.0,0.03,0.03,1.02,0.0,0.0,1.96,0.98,6.85,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Robert,Lynch Sánchez,Sánchez,d,Head injury - 50% chance of playing,,4.8,353,13.0,10.5,37,5.0,1.2,244.0,20.0,0,0,0.0,-2,2.0,32,18624,0.3,22.7,0.6,0.0,3.3,151.0,20.0,50.0,0.0,31.0,9.0,361.0,1.0,772.0,88.0,184.0,6.0,,,,,,,,0.0,0.0,0.0,1.42,2.86,0.28,1.45,1.04,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,43401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Filip,Jörgensen,Jörgensen,a,,,4.3,611,27.0,0.2,402,57.0,0.8,286.0,22.0,2,0,0.0,-2,2.0,454,158,0.2,2.1,0.8,0.3,1.8,370.0,35.0,100.0,100.0,402.0,30.0,653.0,86.0,630.0,75.0,441.0,30.0,,,,,,,,0.0,0.0,0.0,0.98,1.9,0.0,1.19,0.71,0.0,36,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,1052.0,198.0,0.0,0.0,0.0,0.0,0.56,19.799999999999997,0.0,0.0,2.0,0.0,0.0,8.0,0.0
222,Mike,Penders,Penders,u,Has joined RC Strasbourg on loan for the rest of the season.,,4.0,725,65.0,0.0,807,93.0,0.0,506.0,77.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,625.0,86.0,0.0,0.0,614.0,86.0,607.0,75.0,577.0,61.0,616.0,86.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Gabriel,Słonina,Slonina,a,,,3.9,779,84.0,0.1,475,68.0,0.0,439.0,43.0,0,0,0.0,-1,1.0,20,17,0.0,0.0,0.0,-0.5,0.0,569.0,55.0,,,557.0,55.0,544.0,38.0,512.0,24.0,559.0,55.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Marc,Cucurella Saseta,Cucurella,a,,,6.1,81,4.0,14.5,23,9.0,2.0,193.0,70.0,1,0,0.0,1,-1.0,4141,4845,0.3,16.7,2.0,1.5,3.2,174.0,68.0,100.0,100.0,93.0,40.0,37.0,3.0,103.0,13.0,60.0,10.0,,,,,,,,0.08,0.11,0.19,1.35,0.0,0.32,1.28,1.03,6.24,36,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5041.0,15734.0,0.0,0.029999999999999805,0.03000000000000025,0.05999999999999961,0.5600000000000023,7.0,20.5,27.0,5.5,1.0,0.0,3.0,1.0
225,Reece,James,James,a,,,5.6,129,12.0,5.9,68,22.0,0.2,383.0,132.0,1,0,0.0,1,-1.0,1702,1383,0.0,20.4,0.2,-0.3,4.1,53.0,20.0,100.0,100.0,138.0,59.0,55.0,8.0,267.0,73.0,120.0,35.0,1.0,1.0,,,,,,0.05,0.15,0.2,1.33,0.0,0.38,0.94,0.94,6.0,36,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2117.0,2969.0,0.0,0.0,0.010000000000000231,0.009999999999999787,0.05000000000000071,7.600000000000023,1.3000000000000114,0.0,0.9000000000000057,1.0,3.0,4.0,4.0
226,Trevoh,Chalobah,Chalobah,a,,,5.4,155,18.0,9.0,45,14.0,0.8,306.0,106.0,0,0,0.0,4,-4.0,1022,7111,0.1,24.8,0.8,0.3,4.2,47.0,17.0,100.0,100.0,44.0,19.0,279.0,83.0,217.0,57.0,139.0,43.0,,,,,,,,0.05,0.03,0.08,1.33,0.0,0.3,1.31,1.02,8.51,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707.0,15415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Levi,Samuels Colwill,Colwill,a,,,4.7,388,66.0,0.1,458,171.0,1.2,241.0,89.0,4,0,0.0,-3,3.0,969,41,0.3,1.1,1.2,0.7,2.5,270.0,106.0,100.0,100.0,439.0,162.0,452.0,163.0,457.0,170.0,466.0,168.0,,,,,,,,0.0,0.01,0.01,1.01,0.0,0.0,1.33,0.67,8.0,36,4.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1057.0,45.0,0.0,0.0,0.01,0.01,0.56,26.999999999999996,1.7000000000000002,0.0,2.9000000000000004,1.0,10.0,1.0,11.0
228,Malo,Gusto,Gusto,a,,,4.8,365,62.0,1.8,143,57.0,1.2,245.0,90.0,2,0,0.0,-2,2.0,524,1466,0.3,20.2,1.2,0.7,2.9,202.0,82.0,100.0,100.0,152.0,64.0,67.0,13.0,171.0,39.0,115.0,31.0,,,,,,,,0.06,0.1,0.16,1.47,0.0,0.29,1.41,1.04,4.93,36,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,741.0,4780.0,0.0,0.0,0.020000000000000018,0.020000000000000018,0.5600000000000023,5.0,3.3999999999999773,8.0,1.5999999999999943,2.0,2.0,7.0,4.0
229,Benoît,Badiashile Mukinayi,B.Badiashile,a,,,4.4,543,112.0,0.0,649,232.0,0.0,592.0,242.0,0,0,0.0,-1,1.0,9,16,0.0,1.6,0.0,-0.5,0.9,519.0,176.0,100.0,100.0,379.0,141.0,443.0,158.0,453.0,169.0,424.0,152.0,,,,,,,,0.0,0.01,0.01,1.42,0.0,0.0,1.91,1.15,9.19,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Wesley,Fofana,Fofana,a,,,4.4,547,115.0,0.4,297,110.0,1.8,200.0,74.0,5,0,0.0,-1,1.0,238,233,0.4,14.8,1.8,1.3,2.8,217.0,87.0,100.0,100.0,139.0,60.0,341.0,117.0,312.0,95.0,258.0,85.0,,,,,,,,0.04,0.03,0.07,1.3,0.0,0.23,1.26,1.03,10.84,36,5.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,266.0,1136.0,0.0,0.0,0.0,0.0,0.5599999999999987,7.800000000000011,0.7999999999999972,0.0,0.8999999999999986,0.0,3.0,4.0,3.0
231,Mamadou,Sarr,M.Sarr,a,,,4.5,479,96.0,0.0,663,234.0,0.0,673.0,252.0,0,0,0.0,0,0.0,26,38,0.0,0.4,0.0,-0.5,1.0,492.0,175.0,100.0,100.0,483.0,173.0,498.0,178.0,434.0,166.0,494.0,173.0,,,,,,,,0.35,0.0,0.35,1.4,0.0,0.0,2.97,0.99,7.91,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Tosin,Adarabioyo,Tosin,a,,,4.0,676,163.0,0.3,345,125.0,0.0,463.0,175.0,0,0,0.0,-5,5.0,74,84,0.0,8.5,0.0,-0.5,2.1,324.0,119.0,100.0,100.0,270.0,109.0,389.0,139.0,397.0,142.0,369.0,126.0,,,,,,,,0.01,0.05,0.06,1.51,0.0,0.23,1.6,0.91,11.08,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Josh,Acheampong,Acheampong,a,,,3.7,836,268.0,1.7,151,60.0,0.5,322.0,109.0,0,0,0.0,-3,3.0,2030,1599,0.1,9.7,0.5,0.0,2.4,284.0,108.0,100.0,100.0,360.0,136.0,375.0,136.0,320.0,101.0,384.0,133.0,,,,,,,,0.09,0.02,0.11,2.19,0.0,0.31,1.87,1.09,6.37,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4396.0,2876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Aarón,Anselmino,Anselmino,u,has joined Strasbourg on loan for the rest of the season.,,4.0,746,208.0,0.1,579,207.0,0.0,527.0,215.0,0,0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,644.0,246.0,0.0,0.0,633.0,246.0,626.0,246.0,596.0,243.0,635.0,246.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Cole,Palmer,Palmer,a,,,10.3,5,3.0,12.9,28,10.0,1.0,280.0,123.0,2,0,0.0,-2,2.0,3135,15392,0.1,10.1,1.0,0.5,4.3,46.0,22.0,100.0,100.0,120.0,38.0,90.0,66.0,47.0,28.0,63.0,38.0,,3.0,1.0,,,,,0.51,0.12,0.63,1.4,0.0,0.15,1.52,1.11,6.54,36,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,4635.0,114862.0,0.0,0.0,0.04999999999999982,0.049999999999998934,0.5600000000000023,9.200000000000045,9.400000000000034,2.0,2.0999999999999943,3.0,0.0,1.0,4.0
236,Pedro,Lomba Neto,Neto,d,Knock - 50% chance of playing,,7.0,36,21.0,4.0,94,31.0,1.0,279.0,122.0,0,0,0.0,0,0.0,20,5160,0.1,16.3,0.5,0.1,3.6,114.0,48.0,50.0,25.0,133.0,44.0,13.0,13.0,53.0,31.0,31.0,25.0,2.0,4.0,,,,,,0.16,0.24,0.4,1.25,0.0,0.4,1.09,1.02,4.18,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,12410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
