id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
501,a,,,4.3,616,86.0,0,0.0,-2,2.0,0.3,354,57.0,0,0,0.0,665.0,67.0,0,0,0.0,543.0,56.0,0.0,0.0,0.0,26584,73,37425,82,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,67.0,0.0,651.0,66.0,0.0,628.0,66.0,0.0,657.0,67.0,,,,33,,Sean,Neave,Neave,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
825,a,,,4.0,718,65.0,0,0.0,0,0.0,0.0,807,92.0,0,0,0.0,619.0,86.0,0,0,0.0,466.0,77.0,0.0,0.0,0.0,130,14,37,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,86.0,0.0,603.0,75.0,0.0,572.0,61.0,0.0,612.0,86.0,,,,33,,Finlay,Herrick,Herrick,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
639,u,0.0,0.0,4.0,720,191.0,0,0.0,0,0.0,0.0,769,260.0,0,0,0.0,621.0,231.0,0,0,0.0,468.0,181.0,0.0,0.0,0.0,0,0,895,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,231.0,0.0,605.0,231.0,0.0,574.0,228.0,0.0,614.0,231.0,,,,33,,Bastien,Meupiyou Menadjou,Meupiyou,On loan to FC Alverca,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
647,u,0.0,0.0,5.5,137,85.0,0,0.0,0,0.0,0.0,801,355.0,0,0,0.0,815.0,363.0,0,0,0.0,794.0,351.0,0.0,0.0,0.0,0,0,796,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,362.0,0.0,813.0,362.0,0.0,811.0,361.0,0.0,814.0,362.0,,,,33,,Gonçalo Manuel,Ganchinho Guedes,Guedes,Has joined Real Sociedad permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
61,u,0.0,0.0,4.5,414,250.0,0,0.0,0,0.0,0.1,541,198.0,0,0,0.0,695.0,270.0,0,0,0.0,592.0,202.0,0.0,0.0,0.0,2169,0,33759,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,264.0,0.0,684.0,267.0,0.0,665.0,259.0,0.0,691.0,266.0,,,,33,,Leander,Dendoncker,Dendoncker,Has joined Real Oviedo permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
810,a,,,4.5,470,286.0,0,0.0,0,0.0,0.0,796,350.0,0,0,0.0,729.0,299.0,0,0,0.0,636.0,235.0,0.0,0.0,0.0,425,3,212,8,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,296.0,0.0,720.0,297.0,0.0,705.0,291.0,0.0,727.0,297.0,,,,33,,Luka,Bentt,Bentt,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
156,a,,,3.8,812,253.0,0,0.0,-2,2.0,0.2,410,150.0,0,0,0.0,541.0,197.0,0,0,0.0,372.0,135.0,0.0,0.0,0.0,12857,30,18166,76,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,196.0,0.0,515.0,196.0,0.0,481.0,190.0,0.0,533.0,196.0,,,,33,,Charlie,Tasker,Tasker,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
783,a,,,5.5,133,82.0,0,0.0,0,0.0,1.6,154,54.0,57,8,4.1,55.0,24.0,7,285,4.7,42.0,14.0,0.9,10.4,0.0,313847,533,58242,3274,0.0,8.9,0.78,2.9,3.68,14.29,0.06,0.22,0.28,1.08,314.0,207.0,87.0,485.1,45.0,40.0,115.0,250.0,136.0,91.4,138.0,76.0,1.0,,,33,,Pascal,Groß,Groß,,,1186,1,4,4,10,0,0,0,2,0,0,13,113,,,,0.0,0.3,0.76,0.99,8.58,23,34,56
786,a,,,4.0,706,60.0,0,0.0,0,0.0,0.0,737,85.0,0,0,0.0,611.0,82.0,0,0,0.0,455.0,73.0,0.0,0.0,0.0,831,20,448,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,82.0,0.0,594.0,70.0,0.0,562.0,56.0,0.0,604.0,82.0,,,,33,,Alfie,McNally,McNally,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
362,a,100.0,100.0,4.9,315,58.0,0,0.0,-6,6.0,0.3,304,46.0,14,0,1.1,448.0,55.0,0,34,0.0,718.0,76.0,0.0,2.9,0.0,39462,51,221342,89,0.0,0.5,0.81,0.13,0.94,5.3,0.34,0.05,0.39,2.22,10.6,465.0,55.0,36.9,373.0,48.0,96.0,271.0,48.0,13.8,405.0,52.0,,,3.0,33,,Joël,Piroe,Piroe,,,215,0,0,1,7,0,0,0,0,0,0,2,11,,,,0.0,0.42,2.93,0.84,4.6,1,1,9
