match_id,team_side,team_code,player_id,player_name,position,jersey_number,is_starting,formation,lineup_status,confidence
25-26-champions-league-arsenal-vs-athletic-club,away,,,U. Simón,G,1,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,A. Gorosabel,D,2,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,D. Vivian,D,3,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,A. Paredes,D,4,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,A. Boiro,D,19,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,M. Jauregizar,M,18,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,M. Vesga,M,6,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,Á. Berenguer,M,7,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,O. Sancet,M,8,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,R. Navarro,M,23,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,I. Williams,F,9,True,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,U. Gómez,M,20,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,G. Guruzeta,F,11,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,Y. Berchiche,D,17,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,A. R. Mora,M,30,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,N. Serrano,F,22,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,J. d. Luis,D,34,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,J. Areso,D,12,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,M. Sannadi,F,21,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,I. R. d. Galarreta,M,16,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,Á. Padilla,G,27,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,M. Santos,G,26,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,away,,,Í. Lekue,D,15,False,4-2-3-1,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,D. Raya,G,1,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,8,J. Timber,D,12,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,C. Mosquera,D,3,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,5,Gabriel,D,6,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,R. Calafiori,D,33,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,M. Merino,M,23,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,M. Zubimendi,M,36,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,D. Rice,M,41,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,N. Madueke,F,20,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,V. Gyökeres,F,14,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,E. Eze,F,10,True,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,L. Trossard,F,19,False,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,G. Martinelli,F,11,False,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,P. Hincapié,D,5,False,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,C. Nørgaard,M,16,False,4-3-3,confirmed,
25-26-champions-league-arsenal-vs-athletic-club,home,3,,K. Arrizabalaga,G,13,False,4-3-3,confirmed,
